concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
Take in charge ticket,complete,Value 1,2012-06-07 12:17:28+00:00,Take in charge ticket,Value 1,Case1370,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 1,2012-06-18 09:22:15+00:00,Resolve ticket,Value 1,Case1370,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-07-21 12:20:25+00:00,Closed,Value 5,Case1370,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-04-19 11:42:45+00:00,Assign seriousness,Value 8,Case134,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 8,2011-04-19 11:45:25+00:00,Take in charge ticket,Value 8,Case134,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 8,2011-04-19 11:45:42+00:00,Resolve ticket,Value 8,Case134,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-06-02 11:50:17+00:00,Closed,Value 5,Case134,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 1,2011-11-22 08:21:43+00:00,Assign seriousness,Value 1,Case878,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-11-29 08:36:04+00:00,Take in charge ticket,Value 2,Case878,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2011-12-13 13:25:11+00:00,Resolve ticket,Value 2,Case878,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-12-28 13:25:22+00:00,Closed,Value 5,Case878,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-05-20 07:00:50+00:00,Assign seriousness,Value 2,Case2208,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-05-20 07:26:34+00:00,Take in charge ticket,Value 2,Case2208,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-06-14 12:27:19+00:00,Resolve ticket,Value 2,Case2208,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-06-29 12:27:32+00:00,Closed,Value 5,Case2208,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 4,2013-03-01 13:10:16+00:00,Assign seriousness,Value 4,Case2021,Variant 2,2,Fluxicon Disco
Take in charge ticket,complete,Value 2,2013-03-01 14:32:18+00:00,Take in charge ticket,Value 2,Case2021,Variant 2,2,Fluxicon Disco
Wait,complete,Value 2,2013-03-01 14:34:20+00:00,Wait,Value 2,Case2021,Variant 2,2,Fluxicon Disco
Resolve ticket,complete,Value 2,2013-04-08 06:53:12+00:00,Resolve ticket,Value 2,Case2021,Variant 2,2,Fluxicon Disco
Closed,complete,Value 3,2013-04-23 06:53:29+00:00,Closed,Value 3,Case2021,Variant 2,2,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-07-31 04:20:05+00:00,Assign seriousness,Value 1,Case1122,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 1,2012-07-31 04:20:14+00:00,Take in charge ticket,Value 1,Case1122,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 1,2012-07-31 07:24:45+00:00,Resolve ticket,Value 1,Case1122,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-09-07 04:30:20+00:00,Closed,Value 5,Case1122,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-12-09 12:24:16+00:00,Assign seriousness,Value 2,Case1613,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 15,2010-12-10 06:08:21+00:00,Take in charge ticket,Value 15,Case1613,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 15,2010-12-10 11:22:10+00:00,Resolve ticket,Value 15,Case1613,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-01-11 12:30:22+00:00,Closed,Value 5,Case1613,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 13,2013-01-21 13:07:53+00:00,Assign seriousness,Value 13,Case4147,Variant 2,2,Fluxicon Disco
Take in charge ticket,complete,Value 2,2013-02-06 15:07:27+00:00,Take in charge ticket,Value 2,Case4147,Variant 2,2,Fluxicon Disco
Wait,complete,Value 2,2013-02-26 11:59:28+00:00,Wait,Value 2,Case4147,Variant 2,2,Fluxicon Disco
Resolve ticket,complete,Value 2,2013-02-27 08:15:06+00:00,Resolve ticket,Value 2,Case4147,Variant 2,2,Fluxicon Disco
Closed,complete,Value 3,2013-03-14 08:15:20+00:00,Closed,Value 3,Case4147,Variant 2,2,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-04-07 06:13:54+00:00,Assign seriousness,Value 8,Case4044,Variant 215,215,Fluxicon Disco
Take in charge ticket,complete,Value 8,2011-04-07 06:14:10+00:00,Take in charge ticket,Value 8,Case4044,Variant 215,215,Fluxicon Disco
Take in charge ticket,complete,Value 8,2011-04-07 06:14:47+00:00,Take in charge ticket,Value 8,Case4044,Variant 215,215,Fluxicon Disco
Schedule intervention,complete,Value 12,2011-04-18 11:12:31+00:00,Schedule intervention,Value 12,Case4044,Variant 215,215,Fluxicon Disco
Resolve ticket,complete,Value 2,2011-04-27 08:01:31+00:00,Resolve ticket,Value 2,Case4044,Variant 215,215,Fluxicon Disco
Closed,complete,Value 5,2011-05-18 13:00:22+00:00,Closed,Value 5,Case4044,Variant 215,215,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-03-26 12:59:53+00:00,Assign seriousness,Value 1,Case2987,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 1,2012-03-26 13:00:03+00:00,Take in charge ticket,Value 1,Case2987,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 1,2012-03-29 04:31:26+00:00,Resolve ticket,Value 1,Case2987,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-05-18 13:00:48+00:00,Closed,Value 5,Case2987,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-05-17 05:15:30+00:00,Assign seriousness,Value 2,Case1853,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-06-01 12:54:31+00:00,Take in charge ticket,Value 2,Case1853,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-06-07 07:32:29+00:00,Resolve ticket,Value 2,Case1853,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-07-07 07:32:55+00:00,Closed,Value 5,Case1853,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 4,2012-02-02 13:35:29+00:00,Assign seriousness,Value 4,Case3204,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 9,2012-02-03 14:58:01+00:00,Take in charge ticket,Value 9,Case3204,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 9,2012-02-06 11:59:13+00:00,Resolve ticket,Value 9,Case3204,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-03-06 13:40:26+00:00,Closed,Value 5,Case3204,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 13,2013-01-14 14:45:20+00:00,Assign seriousness,Value 13,Case3126,Variant 2,2,Fluxicon Disco
Take in charge ticket,complete,Value 9,2013-01-29 08:21:37+00:00,Take in charge ticket,Value 9,Case3126,Variant 2,2,Fluxicon Disco
Wait,complete,Value 9,2013-01-29 11:57:37+00:00,Wait,Value 9,Case3126,Variant 2,2,Fluxicon Disco
Resolve ticket,complete,Value 9,2013-01-30 08:06:37+00:00,Resolve ticket,Value 9,Case3126,Variant 2,2,Fluxicon Disco
Closed,complete,Value 3,2013-02-14 08:06:58+00:00,Closed,Value 3,Case3126,Variant 2,2,Fluxicon Disco
Assign seriousness,complete,Value 4,2012-06-06 04:08:28+00:00,Assign seriousness,Value 4,Case1856,Variant 2,2,Fluxicon Disco
Take in charge ticket,complete,Value 4,2012-06-06 04:17:30+00:00,Take in charge ticket,Value 4,Case1856,Variant 2,2,Fluxicon Disco
Wait,complete,Value 4,2012-06-21 05:57:11+00:00,Wait,Value 4,Case1856,Variant 2,2,Fluxicon Disco
Resolve ticket,complete,Value 4,2012-06-25 05:12:03+00:00,Resolve ticket,Value 4,Case1856,Variant 2,2,Fluxicon Disco
Closed,complete,Value 5,2012-07-10 05:12:16+00:00,Closed,Value 5,Case1856,Variant 2,2,Fluxicon Disco
Assign seriousness,complete,Value 2,2011-06-17 05:02:53+00:00,Assign seriousness,Value 2,Case3488,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-06-17 09:26:52+00:00,Take in charge ticket,Value 2,Case3488,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2011-06-17 09:28:55+00:00,Resolve ticket,Value 2,Case3488,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-07-22 05:10:33+00:00,Closed,Value 5,Case3488,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-06-26 05:11:31+00:00,Assign seriousness,Value 1,Case4198,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 4,2012-06-26 08:58:49+00:00,Take in charge ticket,Value 4,Case4198,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 4,2012-06-29 05:30:47+00:00,Resolve ticket,Value 4,Case4198,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-08-11 05:20:47+00:00,Closed,Value 5,Case4198,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-06-28 11:36:57+00:00,Assign seriousness,Value 8,Case1936,Variant 13,13,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-06-28 11:38:34+00:00,Assign seriousness,Value 8,Case1936,Variant 13,13,Fluxicon Disco
Take in charge ticket,complete,Value 9,2011-06-29 04:12:01+00:00,Take in charge ticket,Value 9,Case1936,Variant 13,13,Fluxicon Disco
Wait,complete,Value 9,2011-06-29 04:49:29+00:00,Wait,Value 9,Case1936,Variant 13,13,Fluxicon Disco
Take in charge ticket,complete,Value 9,2011-07-05 06:47:04+00:00,Take in charge ticket,Value 9,Case1936,Variant 13,13,Fluxicon Disco
Resolve ticket,complete,Value 9,2011-07-05 06:47:25+00:00,Resolve ticket,Value 9,Case1936,Variant 13,13,Fluxicon Disco
Closed,complete,Value 5,2011-08-27 04:41:12+00:00,Closed,Value 5,Case1936,Variant 13,13,Fluxicon Disco
Assign seriousness,complete,Value 6,2010-05-10 10:50:22+00:00,Assign seriousness,Value 6,Case4098,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-05-12 09:16:49+00:00,Take in charge ticket,Value 2,Case4098,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-05-26 10:32:33+00:00,Resolve ticket,Value 2,Case4098,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-06-10 11:00:39+00:00,Closed,Value 5,Case4098,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 1,2013-04-04 13:06:08+00:00,Assign seriousness,Value 1,Case2984,Variant 6,6,Fluxicon Disco
Take in charge ticket,complete,Value 9,2013-04-17 05:37:20+00:00,Take in charge ticket,Value 9,Case2984,Variant 6,6,Fluxicon Disco
Resolve ticket,complete,Value 2,2013-04-22 05:32:22+00:00,Resolve ticket,Value 2,Case2984,Variant 6,6,Fluxicon Disco
Resolve ticket,complete,Value 2,2013-04-22 05:32:22+00:00,Resolve ticket,Value 2,Case2984,Variant 6,6,Fluxicon Disco
Closed,complete,Value 3,2013-05-07 05:32:34+00:00,Closed,Value 3,Case2984,Variant 6,6,Fluxicon Disco
Assign seriousness,complete,Value 2,2012-03-30 03:41:55+00:00,Assign seriousness,Value 2,Case2904,Variant 26,26,Fluxicon Disco
Take in charge ticket,complete,Value 2,2012-03-30 03:43:26+00:00,Take in charge ticket,Value 2,Case2904,Variant 26,26,Fluxicon Disco
Wait,complete,Value 2,2012-03-30 03:49:33+00:00,Wait,Value 2,Case2904,Variant 26,26,Fluxicon Disco
Resolve ticket,complete,Value 1,2012-04-16 05:22:20+00:00,Resolve ticket,Value 1,Case2904,Variant 26,26,Fluxicon Disco
Resolve ticket,complete,Value 1,2012-04-16 05:22:24+00:00,Resolve ticket,Value 1,Case2904,Variant 26,26,Fluxicon Disco
Closed,complete,Value 5,2012-05-16 05:22:42+00:00,Closed,Value 5,Case2904,Variant 26,26,Fluxicon Disco
Assign seriousness,complete,Value 1,2013-02-08 14:07:30+00:00,Assign seriousness,Value 1,Case1603,Variant 8,8,Fluxicon Disco
Resolve ticket,complete,Value 2,2013-02-25 11:18:45+00:00,Resolve ticket,Value 2,Case1603,Variant 8,8,Fluxicon Disco
Resolve ticket,complete,Value 2,2013-02-25 11:18:46+00:00,Resolve ticket,Value 2,Case1603,Variant 8,8,Fluxicon Disco
Closed,complete,Value 3,2013-03-12 11:19:08+00:00,Closed,Value 3,Case1603,Variant 8,8,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-05-02 04:48:53+00:00,Assign seriousness,Value 8,Case2895,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 8,2011-05-02 04:51:13+00:00,Take in charge ticket,Value 8,Case2895,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 14,2011-05-02 07:22:19+00:00,Resolve ticket,Value 14,Case2895,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-06-02 04:50:40+00:00,Closed,Value 5,Case2895,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2011-06-29 07:00:04+00:00,Assign seriousness,Value 2,Case635,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2011-06-29 07:07:21+00:00,Assign seriousness,Value 2,Case635,Variant 4,4,Fluxicon Disco
Take in charge ticket,complete,Value 17,2011-06-29 08:13:16+00:00,Take in charge ticket,Value 17,Case635,Variant 4,4,Fluxicon Disco
Resolve ticket,complete,Value 17,2011-06-29 08:13:58+00:00,Resolve ticket,Value 17,Case635,Variant 4,4,Fluxicon Disco
Closed,complete,Value 5,2011-08-27 07:10:24+00:00,Closed,Value 5,Case635,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-01-03 06:22:59+00:00,Assign seriousness,Value 8,Case3841,Variant 13,13,Fluxicon Disco
Assign seriousness,complete,Value 2,2011-01-10 08:35:25+00:00,Assign seriousness,Value 2,Case3841,Variant 13,13,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-01-10 08:35:33+00:00,Take in charge ticket,Value 2,Case3841,Variant 13,13,Fluxicon Disco
Wait,complete,Value 9,2011-01-11 09:16:12+00:00,Wait,Value 9,Case3841,Variant 13,13,Fluxicon Disco
Take in charge ticket,complete,Value 9,2011-01-25 11:31:30+00:00,Take in charge ticket,Value 9,Case3841,Variant 13,13,Fluxicon Disco
Resolve ticket,complete,Value 9,2011-01-25 11:31:38+00:00,Resolve ticket,Value 9,Case3841,Variant 13,13,Fluxicon Disco
Closed,complete,Value 5,2011-02-09 11:31:50+00:00,Closed,Value 5,Case3841,Variant 13,13,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-03-21 09:22:01+00:00,Assign seriousness,Value 1,Case1632,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 17,2012-03-21 12:09:40+00:00,Take in charge ticket,Value 17,Case1632,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 17,2012-03-22 12:31:13+00:00,Resolve ticket,Value 17,Case1632,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-05-19 07:30:37+00:00,Closed,Value 5,Case1632,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2012-02-01 09:34:03+00:00,Assign seriousness,Value 2,Case222,Variant 5,5,Fluxicon Disco
Resolve ticket,complete,Value 2,2012-02-01 09:35:16+00:00,Resolve ticket,Value 2,Case222,Variant 5,5,Fluxicon Disco
Closed,complete,Value 5,2012-03-09 09:40:26+00:00,Closed,Value 5,Case222,Variant 5,5,Fluxicon Disco
Assign seriousness,complete,Value 1,2011-12-23 09:35:19+00:00,Assign seriousness,Value 1,Case3677,Variant 5,5,Fluxicon Disco
Resolve ticket,complete,Value 1,2011-12-23 09:35:48+00:00,Resolve ticket,Value 1,Case3677,Variant 5,5,Fluxicon Disco
Closed,complete,Value 5,2012-02-05 09:40:27+00:00,Closed,Value 5,Case3677,Variant 5,5,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-06-07 05:02:07+00:00,Assign seriousness,Value 8,Case891,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 8,2011-06-07 05:02:22+00:00,Take in charge ticket,Value 8,Case891,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 8,2011-06-08 04:28:41+00:00,Resolve ticket,Value 8,Case891,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-08-05 05:10:44+00:00,Closed,Value 5,Case891,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-07-17 12:38:54+00:00,Assign seriousness,Value 1,Case3215,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 1,2012-07-27 05:39:28+00:00,Take in charge ticket,Value 1,Case3215,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 1,2012-08-22 05:46:25+00:00,Resolve ticket,Value 1,Case3215,Variant 1,1,Fluxicon Disco
Closed,complete,Value 3,2012-09-06 05:46:43+00:00,Closed,Value 3,Case3215,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-07-17 07:39:38+00:00,Assign seriousness,Value 1,Case1344,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 1,2012-07-17 07:39:48+00:00,Take in charge ticket,Value 1,Case1344,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 1,2012-07-17 09:46:20+00:00,Resolve ticket,Value 1,Case1344,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-09-01 07:40:22+00:00,Closed,Value 5,Case1344,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-02-24 14:46:31+00:00,Assign seriousness,Value 1,Case1938,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2012-03-06 06:43:12+00:00,Take in charge ticket,Value 2,Case1938,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2012-03-06 07:51:05+00:00,Resolve ticket,Value 2,Case1938,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-03-28 12:50:31+00:00,Closed,Value 5,Case1938,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-09-11 12:56:14+00:00,Assign seriousness,Value 1,Case4082,Variant 10,10,Fluxicon Disco
Take in charge ticket,complete,Value 3,2012-09-12 10:48:45+00:00,Take in charge ticket,Value 3,Case4082,Variant 10,10,Fluxicon Disco
Require upgrade,complete,Value 13,2012-09-19 11:17:02+00:00,Require upgrade,Value 13,Case4082,Variant 10,10,Fluxicon Disco
Resolve ticket,complete,Value 13,2012-10-12 07:15:01+00:00,Resolve ticket,Value 13,Case4082,Variant 10,10,Fluxicon Disco
Closed,complete,Value 3,2012-10-27 07:15:12+00:00,Closed,Value 3,Case4082,Variant 10,10,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-02-20 07:28:55+00:00,Assign seriousness,Value 1,Case2397,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 1,2012-02-20 07:29:03+00:00,Take in charge ticket,Value 1,Case2397,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 1,2012-02-20 09:45:35+00:00,Resolve ticket,Value 1,Case2397,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-03-22 07:30:39+00:00,Closed,Value 5,Case2397,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 13,2012-12-20 14:25:01+00:00,Assign seriousness,Value 13,Case4338,Variant 15,15,Fluxicon Disco
Take in charge ticket,complete,Value 2,2013-01-03 08:27:59+00:00,Take in charge ticket,Value 2,Case4338,Variant 15,15,Fluxicon Disco
Wait,complete,Value 1,2013-01-04 13:11:25+00:00,Wait,Value 1,Case4338,Variant 15,15,Fluxicon Disco
Take in charge ticket,complete,Value 1,2013-01-04 13:21:50+00:00,Take in charge ticket,Value 1,Case4338,Variant 15,15,Fluxicon Disco
Wait,complete,Value 1,2013-01-07 09:12:35+00:00,Wait,Value 1,Case4338,Variant 15,15,Fluxicon Disco
Resolve ticket,complete,Value 2,2013-01-21 06:14:36+00:00,Resolve ticket,Value 2,Case4338,Variant 15,15,Fluxicon Disco
Closed,complete,Value 3,2013-02-05 06:14:54+00:00,Closed,Value 3,Case4338,Variant 15,15,Fluxicon Disco
Assign seriousness,complete,Value 13,2012-09-24 05:04:04+00:00,Assign seriousness,Value 13,Case1813,Variant 2,2,Fluxicon Disco
Take in charge ticket,complete,Value 2,2012-10-16 05:19:20+00:00,Take in charge ticket,Value 2,Case1813,Variant 2,2,Fluxicon Disco
Wait,complete,Value 1,2012-10-19 06:49:50+00:00,Wait,Value 1,Case1813,Variant 2,2,Fluxicon Disco
Resolve ticket,complete,Value 1,2012-10-22 07:49:41+00:00,Resolve ticket,Value 1,Case1813,Variant 2,2,Fluxicon Disco
Closed,complete,Value 3,2012-11-06 09:49:54+00:00,Closed,Value 3,Case1813,Variant 2,2,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-10-05 04:13:45+00:00,Assign seriousness,Value 1,Case2676,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2012-11-14 13:58:24+00:00,Take in charge ticket,Value 2,Case2676,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2012-11-14 13:58:49+00:00,Resolve ticket,Value 2,Case2676,Variant 1,1,Fluxicon Disco
Closed,complete,Value 3,2012-11-29 13:59:01+00:00,Closed,Value 3,Case2676,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2011-02-28 07:49:15+00:00,Assign seriousness,Value 2,Case2149,Variant 9,9,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-03-01 13:35:19+00:00,Take in charge ticket,Value 2,Case2149,Variant 9,9,Fluxicon Disco
Resolve ticket,complete,Value 2,2011-03-07 11:33:16+00:00,Resolve ticket,Value 2,Case2149,Variant 9,9,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-03-07 12:58:30+00:00,Take in charge ticket,Value 2,Case2149,Variant 9,9,Fluxicon Disco
Resolve ticket,complete,Value 2,2011-03-07 13:57:38+00:00,Resolve ticket,Value 2,Case2149,Variant 9,9,Fluxicon Disco
Closed,complete,Value 5,2011-04-06 11:57:56+00:00,Closed,Value 5,Case2149,Variant 9,9,Fluxicon Disco
Assign seriousness,complete,Value 13,2012-10-18 10:36:34+00:00,Assign seriousness,Value 13,Case4558,Variant 2,2,Fluxicon Disco
Take in charge ticket,complete,Value 2,2012-10-19 06:32:46+00:00,Take in charge ticket,Value 2,Case4558,Variant 2,2,Fluxicon Disco
Wait,complete,Value 1,2012-11-05 07:59:59+00:00,Wait,Value 1,Case4558,Variant 2,2,Fluxicon Disco
Resolve ticket,complete,Value 2,2012-11-09 09:04:54+00:00,Resolve ticket,Value 2,Case4558,Variant 2,2,Fluxicon Disco
Closed,complete,Value 3,2012-11-24 09:05:16+00:00,Closed,Value 3,Case4558,Variant 2,2,Fluxicon Disco
Assign seriousness,complete,Value 18,2013-11-18 14:42:54+00:00,Assign seriousness,Value 18,Case2918,Variant 56,56,Fluxicon Disco
Take in charge ticket,complete,Value 2,2013-11-19 05:49:52+00:00,Take in charge ticket,Value 2,Case2918,Variant 56,56,Fluxicon Disco
Require upgrade,complete,Value 2,2013-11-21 14:45:42+00:00,Require upgrade,Value 2,Case2918,Variant 56,56,Fluxicon Disco
Take in charge ticket,complete,Value 2,2013-11-25 10:00:56+00:00,Take in charge ticket,Value 2,Case2918,Variant 56,56,Fluxicon Disco
Resolve ticket,complete,Value 2,2013-12-13 12:00:24+00:00,Resolve ticket,Value 2,Case2918,Variant 56,56,Fluxicon Disco
