concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,org:group,case:concept:name,case:variant,case:variant-index,case:creator
Completed-Closed,complete,Vaibhav-Org line C,2012-05-28 09:50:17+00:00,Completed-Closed,Vaibhav,Org line C,1-626292231,Variant 244,244,Fluxicon Disco
Accepted-In Progress,complete,Vaibhav-Org line C,2012-05-28 10:04:15+00:00,Accepted-In Progress,Vaibhav,Org line C,1-626292231,Variant 244,244,Fluxicon Disco
Completed-Closed,complete,Vaibhav-Org line C,2012-05-28 10:06:04+00:00,Completed-Closed,Vaibhav,Org line C,1-626292231,Variant 244,244,Fluxicon Disco
Accepted-In Progress,complete,Robert-Org line C,2012-05-07 17:00:49+00:00,Accepted-In Progress,Robert,Org line C,1-741995344,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Robert-Org line C,2012-05-07 17:02:48+00:00,Queued-Awaiting Assignment,Robert,Org line C,1-741995344,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Edward-Org line C,2012-05-07 17:04:55+00:00,Accepted-In Progress,Edward,Org line C,1-741995344,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Edward-Org line C,2012-05-24 13:46:48+00:00,Completed-Closed,Edward,Org line C,1-741995344,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Stefan-Org line C,2012-03-07 13:26:08+00:00,Accepted-In Progress,Stefan,Org line C,1-694464235,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Stefan-Org line C,2012-04-25 07:42:09+00:00,Completed-Closed,Stefan,Org line C,1-694464235,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Amit-Org line C,2011-12-02 11:45:33+00:00,Accepted-In Progress,Amit,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Queued-Awaiting Assignment,complete,Amit-Org line C,2011-12-02 11:51:13+00:00,Queued-Awaiting Assignment,Amit,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Accepted-In Progress,complete,Prashant-Org line C,2011-12-06 10:32:54+00:00,Accepted-In Progress,Prashant,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Queued-Awaiting Assignment,complete,Robert-Org line C,2011-12-06 10:35:01+00:00,Queued-Awaiting Assignment,Robert,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Accepted-In Progress,complete,Praveen-Org line C,2011-12-06 11:50:12+00:00,Accepted-In Progress,Praveen,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Queued-Awaiting Assignment,complete,Martin-Org line C,2011-12-06 11:56:00+00:00,Queued-Awaiting Assignment,Martin,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Accepted-In Progress,complete,Michael-Org line C,2011-12-06 12:54:20+00:00,Accepted-In Progress,Michael,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Accepted-Wait,complete,Michael-Org line C,2011-12-06 13:54:19+00:00,Accepted-Wait,Michael,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Queued-Awaiting Assignment,complete,Martin-Org line C,2012-01-30 13:13:13+00:00,Queued-Awaiting Assignment,Martin,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Accepted-In Progress,complete,Michael-Org line C,2012-01-30 13:13:14+00:00,Accepted-In Progress,Michael,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Queued-Awaiting Assignment,complete,Martin-Org line C,2012-01-30 13:13:51+00:00,Queued-Awaiting Assignment,Martin,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Accepted-In Progress,complete,Michael-Org line C,2012-01-30 13:17:15+00:00,Accepted-In Progress,Michael,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Queued-Awaiting Assignment,complete,Martin-Org line C,2012-01-30 13:17:46+00:00,Queued-Awaiting Assignment,Martin,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Accepted-In Progress,complete,Pascal-Org line C,2012-01-30 13:31:28+00:00,Accepted-In Progress,Pascal,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Accepted-Assigned,complete,Michael-Org line C,2012-01-30 13:32:18+00:00,Accepted-Assigned,Michael,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Accepted-In Progress,complete,Nitesh-Org line C,2012-02-13 13:36:25+00:00,Accepted-In Progress,Nitesh,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Accepted-Wait,complete,Nitesh-Org line C,2012-02-13 13:39:27+00:00,Accepted-Wait,Nitesh,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Completed-Closed,complete,Nitesh-Org line C,2012-03-05 15:16:43+00:00,Completed-Closed,Nitesh,Org line C,1-619109941,Variant 232,232,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-11-24 11:31:32+00:00,Accepted-In Progress,Carolyn,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-11-24 11:34:29+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line G3,2010-11-24 11:38:49+00:00,Accepted-In Progress,Santhosh,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2010-11-24 11:42:34+00:00,Accepted-Assigned,Carolyn,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Queued-Awaiting Assignment,complete,Hannes-Org line A2,2011-04-11 16:26:27+00:00,Queued-Awaiting Assignment,Hannes,Org line A2,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-Assigned,complete,Y-Org line A2,2011-04-11 16:26:46+00:00,Accepted-Assigned,Y,Org line A2,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-In Progress,complete,Y-Org line A2,2011-04-18 13:00:15+00:00,Accepted-In Progress,Y,Org line A2,1-423751353,Variant 138,138,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-18 13:01:38+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-04-18 15:04:51+00:00,Accepted-In Progress,Padmanabha,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-18 15:04:58+00:00,Accepted-Assigned,Carolyn,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Queued-Awaiting Assignment,complete,Hannes-Org line A2,2011-05-06 04:45:59+00:00,Queued-Awaiting Assignment,Hannes,Org line A2,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-05-06 04:46:29+00:00,Accepted-In Progress,Padmanabha,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-In Progress,complete,Hannes-Org line A2,2011-05-06 04:47:45+00:00,Accepted-In Progress,Hannes,Org line A2,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line A2,2011-05-06 04:48:03+00:00,Accepted-In Progress,Padmanabha,Org line A2,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-Assigned,complete,Jayalakshmi-Org line A2,2011-05-06 04:50:21+00:00,Accepted-Assigned,Jayalakshmi,Org line A2,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-Assigned,complete,Y-Org line A2,2011-05-09 06:21:40+00:00,Accepted-Assigned,Y,Org line A2,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-In Progress,complete,Y-Org line A2,2011-06-13 13:29:37+00:00,Accepted-In Progress,Y,Org line A2,1-423751353,Variant 138,138,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-06-13 13:49:48+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line G3,2011-06-16 10:10:47+00:00,Accepted-In Progress,Santhosh,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-06-16 10:10:56+00:00,Accepted-Assigned,Carolyn,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-04 12:24:08+00:00,Accepted-In Progress,Ewa,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-04 12:26:48+00:00,Completed-Closed,Ewa,Org line G3,1-423751353,Variant 138,138,Fluxicon Disco
Accepted-In Progress,complete,Bhavesh-Org line C,2012-02-09 16:24:55+00:00,Accepted-In Progress,Bhavesh,Org line C,1-664001411,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Bhavesh-Org line C,2012-03-13 07:36:51+00:00,Completed-Closed,Bhavesh,Org line C,1-664001411,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2010-11-19 14:29:24+00:00,Accepted-In Progress,Carrie,Org line A2,1-422390390,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2012-03-13 08:57:01+00:00,Accepted-In Progress,Carrie,Org line A2,1-422390390,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Carrie-Org line A2,2012-03-13 08:58:33+00:00,Completed-Closed,Carrie,Org line A2,1-422390390,Variant 4,4,Fluxicon Disco
Accepted-Wait,complete,Sreelesh-Org line C,2011-10-25 02:39:54+00:00,Accepted-Wait,Sreelesh,Org line C,1-594093101,Variant 211,211,Fluxicon Disco
Accepted-In Progress,complete,Sreelesh-Org line C,2012-01-04 12:59:47+00:00,Accepted-In Progress,Sreelesh,Org line C,1-594093101,Variant 211,211,Fluxicon Disco
Accepted-Wait,complete,Sreelesh-Org line C,2012-01-04 12:59:54+00:00,Accepted-Wait,Sreelesh,Org line C,1-594093101,Variant 211,211,Fluxicon Disco
Queued-Awaiting Assignment,complete,Robert-Org line C,2012-03-07 12:15:35+00:00,Queued-Awaiting Assignment,Robert,Org line C,1-594093101,Variant 211,211,Fluxicon Disco
Queued-Awaiting Assignment,complete,Amit-Org line C,2012-03-12 18:09:52+00:00,Queued-Awaiting Assignment,Amit,Org line C,1-594093101,Variant 211,211,Fluxicon Disco
Accepted-In Progress,complete,Sreelesh-Org line C,2012-03-28 14:55:11+00:00,Accepted-In Progress,Sreelesh,Org line C,1-594093101,Variant 211,211,Fluxicon Disco
Completed-Closed,complete,Sreelesh-Org line C,2012-03-28 14:55:58+00:00,Completed-Closed,Sreelesh,Org line C,1-594093101,Variant 211,211,Fluxicon Disco
Accepted-In Progress,complete,Veronique-Org line A2,2011-06-30 08:35:50+00:00,Accepted-In Progress,Veronique,Org line A2,1-537902763,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Veronique-Org line A2,2012-01-12 10:46:25+00:00,Completed-Closed,Veronique,Org line A2,1-537902763,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Aparna-Org line A2,2012-03-05 15:45:27+00:00,Accepted-In Progress,Aparna,Org line A2,1-693343054,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Aparna-Org line A2,2012-03-26 16:35:33+00:00,Completed-Closed,Aparna,Org line A2,1-693343054,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Evane-Org line B,2011-12-12 11:50:53+00:00,Accepted-In Progress,Evane,Org line B,1-622156083,Variant 25,25,Fluxicon Disco
Queued-Awaiting Assignment,complete,Evane-Org line B,2011-12-12 11:51:38+00:00,Queued-Awaiting Assignment,Evane,Org line B,1-622156083,Variant 25,25,Fluxicon Disco
Accepted-Assigned,complete,Alice-Org line B,2011-12-12 13:54:04+00:00,Accepted-Assigned,Alice,Org line B,1-622156083,Variant 25,25,Fluxicon Disco
Accepted-In Progress,complete,Evane-Org line B,2012-01-17 12:30:30+00:00,Accepted-In Progress,Evane,Org line B,1-622156083,Variant 25,25,Fluxicon Disco
Completed-Closed,complete,Evane-Org line B,2012-01-17 12:31:09+00:00,Completed-Closed,Evane,Org line B,1-622156083,Variant 25,25,Fluxicon Disco
Accepted-In Progress,complete,Lena-Org line A2,2012-03-28 09:40:06+00:00,Accepted-In Progress,Lena,Org line A2,1-703964563,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Lena-Org line A2,2012-04-02 10:35:25+00:00,Queued-Awaiting Assignment,Lena,Org line A2,1-703964563,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Lena-Org line A2,2012-05-25 09:50:29+00:00,Accepted-In Progress,Lena,Org line A2,1-703964563,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Lena-Org line A2,2012-05-25 09:58:50+00:00,Completed-Closed,Lena,Org line A2,1-703964563,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Robert-Org line C,2011-09-27 07:38:17+00:00,Accepted-In Progress,Robert,Org line C,1-578105842,Variant 198,198,Fluxicon Disco
Queued-Awaiting Assignment,complete,Robert-Org line C,2011-09-27 07:41:46+00:00,Queued-Awaiting Assignment,Robert,Org line C,1-578105842,Variant 198,198,Fluxicon Disco
Accepted-In Progress,complete,Debashish-Org line C,2011-09-28 01:53:29+00:00,Accepted-In Progress,Debashish,Org line C,1-578105842,Variant 198,198,Fluxicon Disco
Queued-Awaiting Assignment,complete,Robert-Org line C,2011-09-28 02:11:27+00:00,Queued-Awaiting Assignment,Robert,Org line C,1-578105842,Variant 198,198,Fluxicon Disco
Queued-Awaiting Assignment,complete,Laurent-Org line C,2011-09-28 09:49:58+00:00,Queued-Awaiting Assignment,Laurent,Org line C,1-578105842,Variant 198,198,Fluxicon Disco
Accepted-In Progress,complete,Nicolas-Org line C,2012-02-15 14:18:55+00:00,Accepted-In Progress,Nicolas,Org line C,1-578105842,Variant 198,198,Fluxicon Disco
Completed-Closed,complete,Nicolas-Org line C,2012-02-15 14:39:53+00:00,Completed-Closed,Nicolas,Org line C,1-578105842,Variant 198,198,Fluxicon Disco
Accepted-In Progress,complete,Daniel-Org line A2,2010-04-12 17:14:40+00:00,Accepted-In Progress,Daniel,Org line A2,1-366462246,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Daniel-Org line A2,2012-04-11 14:40:26+00:00,Accepted-In Progress,Daniel,Org line A2,1-366462246,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Daniel-Org line A2,2012-04-11 14:40:52+00:00,Completed-Closed,Daniel,Org line A2,1-366462246,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-07-27 11:50:20+00:00,Accepted-In Progress,Carolyn,Org line G3,1-388230583,Variant 123,123,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-07-27 11:54:23+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-388230583,Variant 123,123,Fluxicon Disco
Accepted-In Progress,complete,Kannan-Org line G3,2010-07-27 12:08:22+00:00,Accepted-In Progress,Kannan,Org line G3,1-388230583,Variant 123,123,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2010-07-27 12:08:30+00:00,Accepted-Assigned,Carolyn,Org line G3,1-388230583,Variant 123,123,Fluxicon Disco
Queued-Awaiting Assignment,complete,Niklas-Org line A2,2010-08-18 10:29:41+00:00,Queued-Awaiting Assignment,Niklas,Org line A2,1-388230583,Variant 123,123,Fluxicon Disco
Accepted-Assigned,complete,Manjunath-Org line A2,2010-08-18 10:39:40+00:00,Accepted-Assigned,Manjunath,Org line A2,1-388230583,Variant 123,123,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-08-23 13:24:12+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-388230583,Variant 123,123,Fluxicon Disco
Accepted-In Progress,complete,Kannan-Org line A2,2010-08-23 14:12:32+00:00,Accepted-In Progress,Kannan,Org line A2,1-388230583,Variant 123,123,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-08-23 14:13:39+00:00,Accepted-In Progress,Carolyn,Org line G3,1-388230583,Variant 123,123,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-31 08:04:00+00:00,Accepted-In Progress,Ewa,Org line G3,1-388230583,Variant 123,123,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-31 08:05:54+00:00,Completed-Closed,Ewa,Org line G3,1-388230583,Variant 123,123,Fluxicon Disco
Accepted-In Progress,complete,Katarina-Org line G4,2010-12-16 10:55:48+00:00,Accepted-In Progress,Katarina,Org line G4,1-430880486,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Katarina-Org line G4,2011-03-21 16:11:52+00:00,Accepted-Wait,Katarina,Org line G4,1-430880486,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Katarina-Org line G4,2012-02-29 13:38:04+00:00,Completed-Closed,Katarina,Org line G4,1-430880486,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Agneta-Org line A2,2012-03-12 08:09:09+00:00,Accepted-In Progress,Agneta,Org line A2,1-695946177,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Agneta-Org line A2,2012-03-13 18:23:55+00:00,Completed-Closed,Agneta,Org line A2,1-695946177,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Britt-Org line A2,2011-12-07 04:38:29+00:00,Accepted-In Progress,Britt,Org line A2,1-620432583,Variant 26,26,Fluxicon Disco
Queued-Awaiting Assignment,complete,Britt-Org line A2,2011-12-07 04:39:00+00:00,Queued-Awaiting Assignment,Britt,Org line A2,1-620432583,Variant 26,26,Fluxicon Disco
Accepted-In Progress,complete,Britt-Org line A2,2011-12-12 13:51:36+00:00,Accepted-In Progress,Britt,Org line A2,1-620432583,Variant 26,26,Fluxicon Disco
Accepted-Wait,complete,Britt-Org line A2,2011-12-12 13:51:48+00:00,Accepted-Wait,Britt,Org line A2,1-620432583,Variant 26,26,Fluxicon Disco
Accepted-In Progress,complete,Britt-Org line A2,2012-01-19 14:53:52+00:00,Accepted-In Progress,Britt,Org line A2,1-620432583,Variant 26,26,Fluxicon Disco
Completed-Closed,complete,Britt-Org line A2,2012-01-19 15:05:09+00:00,Completed-Closed,Britt,Org line A2,1-620432583,Variant 26,26,Fluxicon Disco
Accepted-In Progress,complete,Bikshamaiah-Org line C,2011-12-13 08:52:25+00:00,Accepted-In Progress,Bikshamaiah,Org line C,1-622652886,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Bikshamaiah-Org line C,2012-04-30 15:41:11+00:00,Completed-Closed,Bikshamaiah,Org line C,1-622652886,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-14 11:38:20+00:00,Accepted-In Progress,Ewa,Org line G3,1-673143636,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-14 11:53:55+00:00,Completed-Closed,Ewa,Org line G3,1-673143636,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line V2,2011-11-07 07:26:58+00:00,Accepted-In Progress,Tomas,Org line V2,1-603563148,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Tomas-Org line V2,2012-01-09 11:27:06+00:00,Completed-Closed,Tomas,Org line V2,1-603563148,Variant 1,1,Fluxicon Disco
Accepted-Assigned,complete,Veeraraghavendra-Org line G4,2010-11-12 13:05:33+00:00,Accepted-Assigned,Veeraraghavendra,Org line G4,1-419783741,Variant 18,18,Fluxicon Disco
Accepted-In Progress,complete,Vipin-Org line G4,2012-02-01 12:16:41+00:00,Accepted-In Progress,Vipin,Org line G4,1-419783741,Variant 18,18,Fluxicon Disco
Completed-Closed,complete,Vipin-Org line G4,2012-02-01 12:17:55+00:00,Completed-Closed,Vipin,Org line G4,1-419783741,Variant 18,18,Fluxicon Disco
Accepted-In Progress,complete,Torbjörn-Org line G4,2011-12-07 13:57:08+00:00,Accepted-In Progress,Torbjörn,Org line G4,1-620656965,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Torbjörn-Org line G4,2012-01-09 12:50:31+00:00,Completed-Closed,Torbjörn,Org line G4,1-620656965,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Åsa-Org line A2,2012-04-20 12:04:29+00:00,Accepted-In Progress,Åsa,Org line A2,1-728470722,Variant 319,319,Fluxicon Disco
Accepted-Assigned,complete,Åsa-Org line A2,2012-04-20 12:05:30+00:00,Accepted-Assigned,Åsa,Org line A2,1-728470722,Variant 319,319,Fluxicon Disco
Queued-Awaiting Assignment,complete,Jaroslaw-Org line A2,2012-04-20 12:32:59+00:00,Queued-Awaiting Assignment,Jaroslaw,Org line A2,1-728470722,Variant 319,319,Fluxicon Disco
