concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
Closed,complete,Value 5,2010-03-21 10:44:31+02:00,Closed,Value 5,Case791,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-21 08:52:31+02:00,Assign seriousness,Value 2,Case1485,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-17 10:05:11+02:00,Take in charge ticket,Value 2,Case1485,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-17 10:05:17+02:00,Resolve ticket,Value 2,Case1485,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-04 10:05:28+02:00,Closed,Value 5,Case1485,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-21 08:53:28+02:00,Assign seriousness,Value 2,Case1000,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-21 08:53:34+02:00,Assign seriousness,Value 2,Case1000,Variant 4,4,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-21 08:53:40+02:00,Take in charge ticket,Value 2,Case1000,Variant 4,4,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-01-26 14:06:53+02:00,Resolve ticket,Value 2,Case1000,Variant 4,4,Fluxicon Disco
Closed,complete,Value 5,2010-03-06 09:00:57+02:00,Closed,Value 5,Case1000,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-21 08:57:25+02:00,Assign seriousness,Value 2,Case2915,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-21 08:57:35+02:00,Assign seriousness,Value 2,Case2915,Variant 4,4,Fluxicon Disco
Take in charge ticket,complete,Value 10,2010-02-15 16:17:46+02:00,Take in charge ticket,Value 10,Case2915,Variant 4,4,Fluxicon Disco
Resolve ticket,complete,Value 10,2010-02-15 16:17:57+02:00,Resolve ticket,Value 10,Case2915,Variant 4,4,Fluxicon Disco
Closed,complete,Value 5,2010-03-02 16:18:12+02:00,Closed,Value 5,Case2915,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-22 08:17:33+02:00,Assign seriousness,Value 2,Case1768,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 11,2010-01-22 08:46:15+02:00,Take in charge ticket,Value 11,Case1768,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 11,2010-01-25 13:23:52+02:00,Resolve ticket,Value 11,Case1768,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-14 10:38:11+02:00,Closed,Value 5,Case1768,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-22 11:09:40+02:00,Assign seriousness,Value 2,Case1006,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-22 11:09:51+02:00,Take in charge ticket,Value 2,Case1006,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-01-22 11:09:59+02:00,Resolve ticket,Value 2,Case1006,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-11 11:10:33+02:00,Closed,Value 5,Case1006,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-22 14:49:01+02:00,Assign seriousness,Value 2,Case2742,Variant 12,12,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-22 14:49:10+02:00,Take in charge ticket,Value 2,Case2742,Variant 12,12,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-22 13:53:42+02:00,Take in charge ticket,Value 2,Case2742,Variant 12,12,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-22 13:53:49+02:00,Resolve ticket,Value 2,Case2742,Variant 12,12,Fluxicon Disco
Closed,complete,Value 5,2010-03-09 13:54:07+02:00,Closed,Value 5,Case2742,Variant 12,12,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-26 11:36:21+02:00,Assign seriousness,Value 2,Case1223,Variant 9,9,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-26 11:36:30+02:00,Take in charge ticket,Value 2,Case1223,Variant 9,9,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-01-26 16:06:29+02:00,Resolve ticket,Value 2,Case1223,Variant 9,9,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-27 14:28:58+02:00,Take in charge ticket,Value 2,Case1223,Variant 9,9,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-08 11:54:13+02:00,Resolve ticket,Value 2,Case1223,Variant 9,9,Fluxicon Disco
Closed,complete,Value 5,2010-03-11 11:40:48+02:00,Closed,Value 5,Case1223,Variant 9,9,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-26 14:14:39+02:00,Assign seriousness,Value 2,Case1703,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-09 16:14:20+02:00,Take in charge ticket,Value 2,Case1703,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-09 16:14:25+02:00,Resolve ticket,Value 2,Case1703,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-11 16:14:54+02:00,Closed,Value 5,Case1703,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-29 10:14:43+02:00,Assign seriousness,Value 2,Case4505,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-29 10:14:56+02:00,Take in charge ticket,Value 2,Case4505,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-01-29 10:15:02+02:00,Resolve ticket,Value 2,Case4505,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-03 10:20:47+02:00,Closed,Value 5,Case4505,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-02 09:49:41+02:00,Assign seriousness,Value 2,Case2441,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-15 15:57:27+02:00,Assign seriousness,Value 2,Case2441,Variant 4,4,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-15 15:57:33+02:00,Take in charge ticket,Value 2,Case2441,Variant 4,4,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-15 15:57:38+02:00,Resolve ticket,Value 2,Case2441,Variant 4,4,Fluxicon Disco
Closed,complete,Value 5,2010-03-05 09:50:31+02:00,Closed,Value 5,Case2441,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-02 09:52:38+02:00,Assign seriousness,Value 2,Case588,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-17 16:24:59+02:00,Take in charge ticket,Value 2,Case588,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-19 08:23:45+02:00,Resolve ticket,Value 2,Case588,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-06 08:24:05+02:00,Closed,Value 5,Case588,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-02 09:57:11+02:00,Assign seriousness,Value 2,Case1400,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-02 09:57:23+02:00,Take in charge ticket,Value 2,Case1400,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-02 09:57:29+02:00,Resolve ticket,Value 2,Case1400,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-18 10:00:48+02:00,Closed,Value 5,Case1400,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-02 10:17:37+02:00,Assign seriousness,Value 2,Case1196,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 10,2010-02-15 16:21:37+02:00,Take in charge ticket,Value 10,Case1196,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 10,2010-02-15 16:22:30+02:00,Resolve ticket,Value 10,Case1196,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-20 10:20:28+02:00,Closed,Value 5,Case1196,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-02 10:18:33+02:00,Assign seriousness,Value 2,Case1468,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 16,2010-03-05 12:28:51+02:00,Assign seriousness,Value 16,Case1468,Variant 4,4,Fluxicon Disco
Take in charge ticket,complete,Value 16,2010-03-05 12:28:58+02:00,Take in charge ticket,Value 16,Case1468,Variant 4,4,Fluxicon Disco
Resolve ticket,complete,Value 16,2010-03-05 13:45:01+02:00,Resolve ticket,Value 16,Case1468,Variant 4,4,Fluxicon Disco
Closed,complete,Value 5,2010-03-20 13:45:16+02:00,Closed,Value 5,Case1468,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-02 13:49:13+02:00,Assign seriousness,Value 2,Case189,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-02 14:04:15+02:00,Assign seriousness,Value 2,Case189,Variant 4,4,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-03 14:27:07+02:00,Take in charge ticket,Value 2,Case189,Variant 4,4,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-03 14:27:16+02:00,Resolve ticket,Value 2,Case189,Variant 4,4,Fluxicon Disco
Closed,complete,Value 5,2010-03-18 13:50:26+02:00,Closed,Value 5,Case189,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-04 08:20:45+02:00,Assign seriousness,Value 2,Case4378,Variant 13,13,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-04 08:21:00+02:00,Assign seriousness,Value 2,Case4378,Variant 13,13,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-16 10:20:28+02:00,Take in charge ticket,Value 2,Case4378,Variant 13,13,Fluxicon Disco
Wait,complete,Value 2,2010-02-16 10:20:37+02:00,Wait,Value 2,Case4378,Variant 13,13,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-17 08:45:28+02:00,Take in charge ticket,Value 2,Case4378,Variant 13,13,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-17 11:34:58+02:00,Resolve ticket,Value 2,Case4378,Variant 13,13,Fluxicon Disco
Closed,complete,Value 5,2010-04-03 10:35:20+03:00,Closed,Value 5,Case4378,Variant 13,13,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-04 08:22:39+02:00,Assign seriousness,Value 2,Case3806,Variant 38,38,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-04 08:22:54+02:00,Take in charge ticket,Value 2,Case3806,Variant 38,38,Fluxicon Disco
Wait,complete,Value 2,2010-02-04 09:07:26+02:00,Wait,Value 2,Case3806,Variant 38,38,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-26 08:53:59+02:00,Take in charge ticket,Value 2,Case3806,Variant 38,38,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-26 08:54:05+02:00,Resolve ticket,Value 2,Case3806,Variant 38,38,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-26 09:31:08+02:00,Resolve ticket,Value 2,Case3806,Variant 38,38,Fluxicon Disco
Closed,complete,Value 5,2010-03-13 09:31:19+02:00,Closed,Value 5,Case3806,Variant 38,38,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-04 09:40:52+02:00,Assign seriousness,Value 2,Case1030,Variant 115,115,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-04 09:41:05+02:00,Assign seriousness,Value 2,Case1030,Variant 115,115,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-04 09:41:23+02:00,Take in charge ticket,Value 2,Case1030,Variant 115,115,Fluxicon Disco
Create SW anomaly,complete,Value 2,2010-02-04 09:41:33+02:00,Create SW anomaly,Value 2,Case1030,Variant 115,115,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-22 14:05:31+02:00,Resolve ticket,Value 2,Case1030,Variant 115,115,Fluxicon Disco
Closed,complete,Value 5,2010-03-09 14:05:44+02:00,Closed,Value 5,Case1030,Variant 115,115,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-04 10:36:44+02:00,Assign seriousness,Value 2,Case1798,Variant 19,19,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-04 10:49:49+02:00,Take in charge ticket,Value 2,Case1798,Variant 19,19,Fluxicon Disco
Create SW anomaly,complete,Value 2,2010-02-04 10:49:57+02:00,Create SW anomaly,Value 2,Case1798,Variant 19,19,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-03-16 15:09:50+02:00,Resolve ticket,Value 2,Case1798,Variant 19,19,Fluxicon Disco
Closed,complete,Value 5,2010-03-31 14:10:02+03:00,Closed,Value 5,Case1798,Variant 19,19,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-04 10:37:45+02:00,Assign seriousness,Value 2,Case2088,Variant 19,19,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-04 11:01:28+02:00,Take in charge ticket,Value 2,Case2088,Variant 19,19,Fluxicon Disco
Create SW anomaly,complete,Value 2,2010-02-04 11:01:35+02:00,Create SW anomaly,Value 2,Case2088,Variant 19,19,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-03-16 15:08:40+02:00,Resolve ticket,Value 2,Case2088,Variant 19,19,Fluxicon Disco
Closed,complete,Value 5,2010-03-31 14:08:53+03:00,Closed,Value 5,Case2088,Variant 19,19,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-05 11:15:48+02:00,Assign seriousness,Value 2,Case765,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-12 11:14:18+02:00,Take in charge ticket,Value 2,Case765,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-24 17:09:08+02:00,Resolve ticket,Value 2,Case765,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-11 17:09:42+02:00,Closed,Value 5,Case765,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-08 11:02:38+02:00,Assign seriousness,Value 2,Case2131,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-19 17:03:44+02:00,Take in charge ticket,Value 2,Case2131,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-19 17:03:53+02:00,Resolve ticket,Value 2,Case2131,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-26 11:12:43+02:00,Closed,Value 5,Case2131,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 16,2010-02-08 15:06:58+02:00,Assign seriousness,Value 16,Case1191,Variant 3,3,Fluxicon Disco
Take in charge ticket,complete,Value 16,2010-02-08 15:12:00+02:00,Take in charge ticket,Value 16,Case1191,Variant 3,3,Fluxicon Disco
Wait,complete,Value 16,2010-02-08 15:12:28+02:00,Wait,Value 16,Case1191,Variant 3,3,Fluxicon Disco
Take in charge ticket,complete,Value 12,2010-02-25 16:56:34+02:00,Take in charge ticket,Value 12,Case1191,Variant 3,3,Fluxicon Disco
Resolve ticket,complete,Value 12,2010-02-26 09:09:32+02:00,Resolve ticket,Value 12,Case1191,Variant 3,3,Fluxicon Disco
Closed,complete,Value 5,2010-03-28 08:10:03+03:00,Closed,Value 5,Case1191,Variant 3,3,Fluxicon Disco
Assign seriousness,complete,Value 16,2010-02-09 08:31:47+02:00,Assign seriousness,Value 16,Case81,Variant 16,16,Fluxicon Disco
Take in charge ticket,complete,Value 16,2010-02-09 08:35:12+02:00,Take in charge ticket,Value 16,Case81,Variant 16,16,Fluxicon Disco
Wait,complete,Value 16,2010-02-09 08:35:26+02:00,Wait,Value 16,Case81,Variant 16,16,Fluxicon Disco
Wait,complete,Value 2,2010-02-09 08:36:27+02:00,Wait,Value 2,Case81,Variant 16,16,Fluxicon Disco
Take in charge ticket,complete,Value 11,2010-02-19 08:31:40+02:00,Take in charge ticket,Value 11,Case81,Variant 16,16,Fluxicon Disco
Resolve ticket,complete,Value 11,2010-02-19 08:32:00+02:00,Resolve ticket,Value 11,Case81,Variant 16,16,Fluxicon Disco
Closed,complete,Value 5,2010-04-09 07:40:43+03:00,Closed,Value 5,Case81,Variant 16,16,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-09 08:47:01+02:00,Assign seriousness,Value 2,Case3918,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-03-09 15:17:24+02:00,Take in charge ticket,Value 2,Case3918,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-03-09 15:17:28+02:00,Resolve ticket,Value 2,Case3918,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-24 15:17:46+02:00,Closed,Value 5,Case3918,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-09 14:31:28+02:00,Assign seriousness,Value 2,Case899,Variant 112,112,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-09 14:31:46+02:00,Take in charge ticket,Value 2,Case899,Variant 112,112,Fluxicon Disco
Create SW anomaly,complete,Value 2,2010-02-09 14:32:02+02:00,Create SW anomaly,Value 2,Case899,Variant 112,112,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-03-22 16:18:31+02:00,Resolve ticket,Value 2,Case899,Variant 112,112,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-03-22 16:18:50+02:00,Take in charge ticket,Value 2,Case899,Variant 112,112,Fluxicon Disco
Create SW anomaly,complete,Value 2,2010-03-22 16:18:56+02:00,Create SW anomaly,Value 2,Case899,Variant 112,112,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-03-22 16:22:09+02:00,Resolve ticket,Value 2,Case899,Variant 112,112,Fluxicon Disco
Closed,complete,Value 5,2010-04-06 15:22:17+03:00,Closed,Value 5,Case899,Variant 112,112,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-09 16:07:04+02:00,Assign seriousness,Value 2,Case1130,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-09 16:07:11+02:00,Take in charge ticket,Value 2,Case1130,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-09 16:07:18+02:00,Resolve ticket,Value 2,Case1130,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-29 15:11:23+03:00,Closed,Value 5,Case1130,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-09 16:10:28+02:00,Assign seriousness,Value 2,Case3849,Variant 6,6,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-03-19 08:41:33+02:00,Take in charge ticket,Value 2,Case3849,Variant 6,6,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-03-19 08:41:38+02:00,Resolve ticket,Value 2,Case3849,Variant 6,6,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-03-19 08:51:04+02:00,Resolve ticket,Value 2,Case3849,Variant 6,6,Fluxicon Disco
Closed,complete,Value 5,2010-04-03 07:51:11+03:00,Closed,Value 5,Case3849,Variant 6,6,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-09 16:17:06+02:00,Assign seriousness,Value 2,Case360,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-23 16:40:34+02:00,Take in charge ticket,Value 2,Case360,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-03-16 09:05:38+02:00,Resolve ticket,Value 2,Case360,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-31 08:05:52+03:00,Closed,Value 5,Case360,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-02-10 08:42:57+02:00,Assign seriousness,Value 2,Case3238,Variant 53,53,Fluxicon Disco
