event,lifecycle:transition,org:resource,completeTime,Activity,Resource,org:group,case,case:variant,case:variant-index,case:creator
Completed-Closed,complete,Juan-Org line V7n,2012-03-19 10:26:32+02:00,Completed-Closed,Juan,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2008-11-13 12:01:04+02:00,Accepted-In Progress,Tomas,Org line A2,1-270427461,Variant 23,23,Fluxicon Disco
Accepted-Wait,complete,Tomas-Org line A2,2009-12-02 15:24:35+02:00,Accepted-Wait,Tomas,Org line A2,1-270427461,Variant 23,23,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2011-11-14 16:57:27+02:00,Accepted-In Progress,Tomas,Org line A2,1-270427461,Variant 23,23,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2012-01-18 11:17:14+02:00,Accepted-In Progress,Carrie,Org line A2,1-270427461,Variant 23,23,Fluxicon Disco
Completed-Closed,complete,Carrie-Org line A2,2012-01-18 11:19:21+02:00,Completed-Closed,Carrie,Org line A2,1-270427461,Variant 23,23,Fluxicon Disco
Accepted-In Progress,complete,Mats-Org line A2,2009-06-25 10:47:52+03:00,Accepted-In Progress,Mats,Org line A2,1-310231291,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Mats-Org line A2,2012-03-28 14:10:36+03:00,Accepted-In Progress,Mats,Org line A2,1-310231291,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Mats-Org line A2,2012-03-28 14:12:08+03:00,Completed-Closed,Mats,Org line A2,1-310231291,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Per-Org line C,2009-08-11 09:44:51+03:00,Accepted-In Progress,Per,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
Queued-Awaiting Assignment,complete,Per-Org line C,2009-08-11 09:55:12+03:00,Queued-Awaiting Assignment,Per,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
Accepted-Assigned,complete,Per-Org line C,2009-08-11 13:01:25+03:00,Accepted-Assigned,Per,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
Queued-Awaiting Assignment,complete,Per-Org line C,2010-05-18 13:35:53+03:00,Queued-Awaiting Assignment,Per,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
Accepted-In Progress,complete,Tony-Org line C,2010-06-16 13:00:32+03:00,Accepted-In Progress,Tony,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
Accepted-Wait,complete,Tony-Org line C,2011-10-01 23:40:28+03:00,Accepted-Wait,Tony,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
Queued-Awaiting Assignment,complete,Tony-Org line C,2011-12-07 13:41:00+02:00,Queued-Awaiting Assignment,Tony,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
Accepted-In Progress,complete,Reza-Org line C,2012-02-15 13:01:20+02:00,Accepted-In Progress,Reza,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
Completed-Closed,complete,Reza-Org line C,2012-02-19 22:57:21+02:00,Completed-Closed,Reza,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
Accepted-In Progress,complete,Richard-Org line C,2009-09-07 15:33:24+03:00,Accepted-In Progress,Richard,Org line C,1-320604521,Variant 42,42,Fluxicon Disco
Unmatched-Unmatched,complete,Richard-Org line C,2009-09-14 12:37:50+03:00,Unmatched-Unmatched,Richard,Org line C,1-320604521,Variant 42,42,Fluxicon Disco
Completed-Closed,complete,Richard-Org line C,2012-04-30 13:21:43+03:00,Completed-Closed,Richard,Org line C,1-320604521,Variant 42,42,Fluxicon Disco
Queued-Awaiting Assignment,complete,Adam-Org line A2,2009-09-16 23:42:12+03:00,Queued-Awaiting Assignment,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
Accepted-In Progress,complete,Adam-Org line A2,2009-09-28 12:26:19+03:00,Accepted-In Progress,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
Accepted-Wait,complete,Adam-Org line A2,2009-09-28 12:26:30+03:00,Accepted-Wait,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
Queued-Awaiting Assignment,complete,Adam-Org line A2,2010-04-08 13:09:22+03:00,Queued-Awaiting Assignment,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
Queued-Awaiting Assignment,complete,Adam-Org line A2,2010-04-08 13:11:51+03:00,Queued-Awaiting Assignment,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
Accepted-In Progress,complete,Adam-Org line A2,2010-04-12 11:05:58+03:00,Accepted-In Progress,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
Accepted-Wait,complete,Adam-Org line A2,2010-04-12 11:10:24+03:00,Accepted-Wait,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
Accepted-In Progress,complete,Adam-Org line A2,2011-10-18 17:09:14+03:00,Accepted-In Progress,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
Accepted-Wait,complete,Adam-Org line A2,2012-05-24 11:02:19+03:00,Accepted-Wait,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
Completed-Closed,complete,Adam-Org line A2,2012-05-24 12:03:31+03:00,Completed-Closed,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
Accepted-In Progress,complete,Stefan-Org line C,2009-09-18 13:50:02+03:00,Accepted-In Progress,Stefan,Org line C,1-322581861,Variant 42,42,Fluxicon Disco
Unmatched-Unmatched,complete,Stefan-Org line C,2009-11-17 15:07:38+02:00,Unmatched-Unmatched,Stefan,Org line C,1-322581861,Variant 42,42,Fluxicon Disco
Completed-Closed,complete,Stefan-Org line C,2012-03-13 12:53:35+02:00,Completed-Closed,Stefan,Org line C,1-322581861,Variant 42,42,Fluxicon Disco
Accepted-In Progress,complete,Kerstin-Org line V2,2009-09-21 15:13:43+03:00,Accepted-In Progress,Kerstin,Org line V2,1-322980802,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Kerstin-Org line V2,2012-02-07 14:22:11+02:00,Completed-Closed,Kerstin,Org line V2,1-322980802,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Reine-Org line C,2009-09-22 15:22:05+03:00,Accepted-In Progress,Reine,Org line C,1-323264491,Variant 10,10,Fluxicon Disco
Accepted-Assigned,complete,Reine-Org line C,2009-09-22 15:25:17+03:00,Accepted-Assigned,Reine,Org line C,1-323264491,Variant 10,10,Fluxicon Disco
Completed-Closed,complete,Reine-Org line C,2012-05-24 11:57:49+03:00,Completed-Closed,Reine,Org line C,1-323264491,Variant 10,10,Fluxicon Disco
Accepted-In Progress,complete,Rajashekar-Org line A2,2009-09-23 12:52:27+03:00,Accepted-In Progress,Rajashekar,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
Accepted-Assigned,complete,Rajashekar-Org line A2,2010-01-04 10:00:17+02:00,Accepted-Assigned,Rajashekar,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
Accepted-In Progress,complete,Rajashekar-Org line A2,2010-03-17 17:36:20+02:00,Accepted-In Progress,Rajashekar,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
Accepted-Assigned,complete,Rajashekar-Org line A2,2010-11-09 13:35:55+02:00,Accepted-Assigned,Rajashekar,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
Accepted-In Progress,complete,Rajashekar-Org line A2,2010-11-09 15:20:48+02:00,Accepted-In Progress,Rajashekar,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
Accepted-In Progress,complete,Kalpesh-Org line A2,2012-03-30 09:00:47+03:00,Accepted-In Progress,Kalpesh,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
Accepted-Assigned,complete,Tise-Org line A2,2012-03-30 09:05:44+03:00,Accepted-Assigned,Tise,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
Accepted-In Progress,complete,TulasiPrasad-Org line A2,2012-04-19 11:01:14+03:00,Accepted-In Progress,TulasiPrasad,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
Completed-Closed,complete,TulasiPrasad-Org line A2,2012-04-19 11:01:38+03:00,Completed-Closed,TulasiPrasad,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2009-10-14 19:12:54+03:00,Accepted-In Progress,Carrie,Org line A2,1-327329880,Variant 23,23,Fluxicon Disco
Accepted-Wait,complete,Carrie-Org line A2,2009-12-02 15:24:37+02:00,Accepted-Wait,Carrie,Org line A2,1-327329880,Variant 23,23,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2011-09-02 01:22:08+03:00,Accepted-In Progress,Carrie,Org line A2,1-327329880,Variant 23,23,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2012-02-01 10:46:54+02:00,Accepted-In Progress,Carrie,Org line A2,1-327329880,Variant 23,23,Fluxicon Disco
Completed-Closed,complete,Carrie-Org line A2,2012-02-01 10:46:57+02:00,Completed-Closed,Carrie,Org line A2,1-327329880,Variant 23,23,Fluxicon Disco
Accepted-Wait,complete,Henrik-Org line A2,2009-10-26 15:47:10+02:00,Accepted-Wait,Henrik,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Unmatched-Unmatched,complete,Henrik-Org line A2,2009-10-27 10:57:26+02:00,Unmatched-Unmatched,Henrik,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Queued-Awaiting Assignment,complete,Henrik-Org line A2,2010-03-02 14:44:22+02:00,Queued-Awaiting Assignment,Henrik,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-In Progress,complete,Katarzyna-Org line A2,2010-03-02 14:46:10+02:00,Accepted-In Progress,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-Wait,complete,Katarzyna-Org line A2,2010-03-02 14:46:18+02:00,Accepted-Wait,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-Assigned,complete,Damian-Org line A2,2011-04-11 10:10:20+03:00,Accepted-Assigned,Damian,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-Assigned,complete,Katarzyna-Org line A2,2011-04-11 10:11:48+03:00,Accepted-Assigned,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-Wait,complete,Katarzyna-Org line A2,2011-11-28 09:21:27+02:00,Accepted-Wait,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-In Progress,complete,Katarzyna-Org line A2,2012-03-30 11:53:50+03:00,Accepted-In Progress,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Completed-Closed,complete,Katarzyna-Org line A2,2012-03-30 11:53:53+03:00,Completed-Closed,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-In Progress,complete,Henrik-Org line A2,2009-10-27 10:42:40+02:00,Accepted-In Progress,Henrik,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
Accepted-Wait,complete,Henrik-Org line A2,2009-10-27 10:42:49+02:00,Accepted-Wait,Henrik,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
Queued-Awaiting Assignment,complete,Henrik-Org line A2,2010-03-02 14:43:43+02:00,Queued-Awaiting Assignment,Henrik,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
Accepted-In Progress,complete,Ricardo-Org line A1,2010-03-02 14:44:26+02:00,Accepted-In Progress,Ricardo,Org line A1,1-329647261,Variant 85,85,Fluxicon Disco
Accepted-In Progress,complete,Katarzyna-Org line A2,2010-03-03 09:04:11+02:00,Accepted-In Progress,Katarzyna,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
Accepted-Wait,complete,Katarzyna-Org line A2,2010-06-13 23:32:03+03:00,Accepted-Wait,Katarzyna,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
Accepted-Assigned,complete,Damian-Org line A2,2011-04-11 10:12:04+03:00,Accepted-Assigned,Damian,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
Accepted-Wait,complete,Damian-Org line A2,2011-11-23 12:55:39+02:00,Accepted-Wait,Damian,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
Completed-Closed,complete,Damian-Org line A2,2012-01-19 09:55:41+02:00,Completed-Closed,Damian,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
Accepted-In Progress,complete,Henrik-Org line A2,2009-10-30 14:49:04+02:00,Accepted-In Progress,Henrik,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
Accepted-Assigned,complete,Henrik-Org line A2,2009-10-30 14:57:13+02:00,Accepted-Assigned,Henrik,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
Queued-Awaiting Assignment,complete,Henrik-Org line A2,2010-03-02 14:43:50+02:00,Queued-Awaiting Assignment,Henrik,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
Accepted-In Progress,complete,Katarzyna-Org line A2,2010-03-02 14:45:25+02:00,Accepted-In Progress,Katarzyna,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
Accepted-Wait,complete,Katarzyna-Org line A2,2010-03-02 14:45:37+02:00,Accepted-Wait,Katarzyna,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
Completed-Closed,complete,Katarzyna-Org line A2,2012-03-30 11:54:30+03:00,Completed-Closed,Katarzyna,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
Accepted-In Progress,complete,Roger-Org line A2,2009-11-04 09:07:28+02:00,Accepted-In Progress,Roger,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
Accepted-In Progress,complete,Roger-Org line A2,2010-03-03 16:51:55+02:00,Accepted-In Progress,Roger,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
Accepted-Assigned,complete,Piotr-Org line A2,2010-03-03 16:52:18+02:00,Accepted-Assigned,Piotr,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
Accepted-Assigned,complete,Piotr-Org line A2,2010-05-24 18:04:58+03:00,Accepted-Assigned,Piotr,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
Accepted-Assigned,complete,Henrik-Org line A2,2010-08-09 13:39:59+03:00,Accepted-Assigned,Henrik,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
Accepted-In Progress,complete,Katarzyna-Org line A2,2012-04-02 11:18:59+03:00,Accepted-In Progress,Katarzyna,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
Completed-Closed,complete,Katarzyna-Org line A2,2012-04-02 11:19:30+03:00,Completed-Closed,Katarzyna,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ingela-Org line V2,2009-11-09 17:38:14+02:00,Queued-Awaiting Assignment,Ingela,Org line V2,1-332389008,Variant 88,88,Fluxicon Disco
Accepted-In Progress,complete,Ingela-Org line V2,2009-11-24 10:41:50+02:00,Accepted-In Progress,Ingela,Org line V2,1-332389008,Variant 88,88,Fluxicon Disco
Accepted-Wait,complete,Ingela-Org line V2,2010-09-10 11:45:16+03:00,Accepted-Wait,Ingela,Org line V2,1-332389008,Variant 88,88,Fluxicon Disco
Accepted-In Progress,complete,Ingela-Org line V2,2011-03-28 12:52:46+03:00,Accepted-In Progress,Ingela,Org line V2,1-332389008,Variant 88,88,Fluxicon Disco
Accepted-Wait,complete,Ingela-Org line V2,2012-01-04 16:53:26+02:00,Accepted-Wait,Ingela,Org line V2,1-332389008,Variant 88,88,Fluxicon Disco
Completed-Closed,complete,Ingela-Org line V2,2012-04-13 14:41:36+03:00,Completed-Closed,Ingela,Org line V2,1-332389008,Variant 88,88,Fluxicon Disco
Accepted-In Progress,complete,Liesbet-Org line A2,2009-11-12 14:41:27+02:00,Accepted-In Progress,Liesbet,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
Accepted-In Progress,complete,Liesbet-Org line A2,2010-09-17 11:33:52+03:00,Accepted-In Progress,Liesbet,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
Queued-Awaiting Assignment,complete,Timothy-Org line A2,2010-11-12 20:22:19+02:00,Queued-Awaiting Assignment,Timothy,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
Accepted-Assigned,complete,Ian-Org line A2,2010-11-23 16:10:22+02:00,Accepted-Assigned,Ian,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
Accepted-Assigned,complete,Alan-Org line A2,2011-01-07 15:55:04+02:00,Accepted-Assigned,Alan,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
Accepted-Wait,complete,Alan-Org line A2,2011-01-11 18:13:42+02:00,Accepted-Wait,Alan,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
Accepted-In Progress,complete,Lars-Org line V11,2011-05-19 16:45:16+03:00,Accepted-In Progress,Lars,Org line V11,1-333164156,Variant 89,89,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ibrahim-Org line A2,2011-05-19 16:49:04+03:00,Queued-Awaiting Assignment,Ibrahim,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
Accepted-In Progress,complete,Ibrahim-Org line A2,2011-08-25 16:24:01+03:00,Accepted-In Progress,Ibrahim,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ward-Org line A2,2011-08-25 16:24:43+03:00,Queued-Awaiting Assignment,Ward,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
Accepted-Assigned,complete,Liesbet-Org line A2,2011-08-25 16:25:33+03:00,Accepted-Assigned,Liesbet,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
Accepted-In Progress,complete,Liesbet-Org line A2,2011-10-26 18:07:30+03:00,Accepted-In Progress,Liesbet,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
Completed-Closed,complete,Liesbet-Org line A2,2012-03-30 12:45:20+03:00,Completed-Closed,Liesbet,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
Accepted-In Progress,complete,Joris-Org line A2,2009-11-24 10:44:43+02:00,Accepted-In Progress,Joris,Org line A2,1-335260940,Variant 90,90,Fluxicon Disco
Queued-Awaiting Assignment,complete,Joris-Org line A2,2009-11-30 11:45:01+02:00,Queued-Awaiting Assignment,Joris,Org line A2,1-335260940,Variant 90,90,Fluxicon Disco
Accepted-In Progress,complete,Joris-Org line A2,2010-03-14 14:40:26+02:00,Accepted-In Progress,Joris,Org line A2,1-335260940,Variant 90,90,Fluxicon Disco
Unmatched-Unmatched,complete,Joris-Org line A2,2010-03-14 14:40:36+02:00,Unmatched-Unmatched,Joris,Org line A2,1-335260940,Variant 90,90,Fluxicon Disco
Completed-Closed,complete,Joris-Org line A2,2012-01-18 15:26:41+02:00,Completed-Closed,Joris,Org line A2,1-335260940,Variant 90,90,Fluxicon Disco
Unmatched-Unmatched,complete,Lars-Org line A2,2009-12-04 13:10:14+02:00,Unmatched-Unmatched,Lars,Org line A2,1-337229341,Variant 91,91,Fluxicon Disco
Accepted-Assigned,complete,Lars-Org line A2,2010-11-29 12:52:49+02:00,Accepted-Assigned,Lars,Org line A2,1-337229341,Variant 91,91,Fluxicon Disco
Accepted-In Progress,complete,Lars-Org line A2,2012-04-14 18:22:00+03:00,Accepted-In Progress,Lars,Org line A2,1-337229341,Variant 91,91,Fluxicon Disco
