"case","event","startTime","completeTime","creator","variant","variant-index","org:resource","org:group","Resource","Activity"
"1-165554831","Accepted-In Progress","2012/01/18 08:52:41.000","2012/01/18 08:52:41.000","Fluxicon Disco","Variant 23","23","Carrie-Org line A2","Org line A2","Carrie","Accepted-In Progress"
"1-165554831","Completed-Closed","2012/01/18 08:52:43.000","2012/01/18 08:52:43.000","Fluxicon Disco","Variant 23","23","Carrie-Org line A2","Org line A2","Carrie","Completed-Closed"
"1-172473423","Accepted-In Progress","2007/05/10 16:21:54.000","2007/05/10 16:21:54.000","Fluxicon Disco","Variant 23","23","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-172473423","Accepted-Wait","2009/12/02 14:24:33.000","2009/12/02 14:24:33.000","Fluxicon Disco","Variant 23","23","Tomas-Org line A2","Org line A2","Tomas","Accepted-Wait"
"1-172473423","Accepted-In Progress","2011/09/03 07:10:59.000","2011/09/03 07:10:59.000","Fluxicon Disco","Variant 23","23","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-172473423","Accepted-In Progress","2012/01/18 08:20:53.000","2012/01/18 08:20:53.000","Fluxicon Disco","Variant 23","23","Carrie-Org line A2","Org line A2","Carrie","Accepted-In Progress"
"1-172473423","Completed-Closed","2012/01/18 08:21:10.000","2012/01/18 08:21:10.000","Fluxicon Disco","Variant 23","23","Carrie-Org line A2","Org line A2","Carrie","Completed-Closed"
"1-182640781","Accepted-In Progress","2007/07/25 14:21:05.000","2007/07/25 14:21:05.000","Fluxicon Disco","Variant 37","37","Niklas-Org line A2","Org line A2","Niklas","Accepted-In Progress"
"1-182640781","Accepted-Wait","2009/12/02 14:24:32.000","2009/12/02 14:24:32.000","Fluxicon Disco","Variant 37","37","Niklas-Org line A2","Org line A2","Niklas","Accepted-Wait"
"1-182640781","Queued-Awaiting Assignment","2010/08/25 11:13:01.000","2010/08/25 11:13:01.000","Fluxicon Disco","Variant 37","37","Niklas-Org line A2","Org line A2","Niklas","Queued-Awaiting Assignment"
"1-182640781","Accepted-In Progress","2011/09/05 09:24:13.000","2011/09/05 09:24:13.000","Fluxicon Disco","Variant 37","37","Niklas-Org line A2","Org line A2","Niklas","Accepted-In Progress"
"1-182640781","Accepted-Assigned","2011/11/14 16:10:25.000","2011/11/14 16:10:25.000","Fluxicon Disco","Variant 37","37","Niklas-Org line A2","Org line A2","Niklas","Accepted-Assigned"
"1-182640781","Accepted-In Progress","2012/01/03 11:30:35.000","2012/01/03 11:30:35.000","Fluxicon Disco","Variant 37","37","Niklas-Org line A2","Org line A2","Niklas","Accepted-In Progress"
"1-182640781","Completed-Closed","2012/01/03 11:31:53.000","2012/01/03 11:31:53.000","Fluxicon Disco","Variant 37","37","Niklas-Org line A2","Org line A2","Niklas","Completed-Closed"
"1-230541365","Accepted-In Progress","2008/05/07 18:58:51.000","2008/05/07 18:58:51.000","Fluxicon Disco","Variant 79","79","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-230541365","Accepted-In Progress","2008/10/06 16:44:37.000","2008/10/06 16:44:37.000","Fluxicon Disco","Variant 79","79","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-230541365","Accepted-Wait","2009/12/02 14:24:34.000","2009/12/02 14:24:34.000","Fluxicon Disco","Variant 79","79","Tomas-Org line A2","Org line A2","Tomas","Accepted-Wait"
"1-230541365","Accepted-In Progress","2011/09/02 00:27:50.000","2011/09/02 00:27:50.000","Fluxicon Disco","Variant 79","79","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-230541365","Accepted-In Progress","2011/09/02 00:27:55.000","2011/09/02 00:27:55.000","Fluxicon Disco","Variant 79","79","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-230541365","Accepted-In Progress","2012/01/20 07:53:32.000","2012/01/20 07:53:32.000","Fluxicon Disco","Variant 79","79","Carrie-Org line A2","Org line A2","Carrie","Accepted-In Progress"
"1-230541365","Completed-Closed","2012/01/20 07:53:35.000","2012/01/20 07:53:35.000","Fluxicon Disco","Variant 79","79","Carrie-Org line A2","Org line A2","Carrie","Completed-Closed"
"1-236817141","Accepted-In Progress","2008/06/04 12:02:18.000","2008/06/04 12:02:18.000","Fluxicon Disco","Variant 37","37","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-236817141","Accepted-Wait","2009/12/02 14:24:34.000","2009/12/02 14:24:34.000","Fluxicon Disco","Variant 37","37","Tomas-Org line A2","Org line A2","Tomas","Accepted-Wait"
"1-236817141","Queued-Awaiting Assignment","2010/08/25 11:06:45.000","2010/08/25 11:06:45.000","Fluxicon Disco","Variant 37","37","Tomas-Org line A2","Org line A2","Tomas","Queued-Awaiting Assignment"
"1-236817141","Accepted-In Progress","2011/09/03 08:02:11.000","2011/09/03 08:02:11.000","Fluxicon Disco","Variant 37","37","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-236817141","Accepted-Assigned","2011/11/14 16:09:27.000","2011/11/14 16:09:27.000","Fluxicon Disco","Variant 37","37","Niklas-Org line A2","Org line A2","Niklas","Accepted-Assigned"
"1-236817141","Accepted-In Progress","2012/01/05 14:08:18.000","2012/01/05 14:08:18.000","Fluxicon Disco","Variant 37","37","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-236817141","Completed-Closed","2012/01/05 14:09:00.000","2012/01/05 14:09:00.000","Fluxicon Disco","Variant 37","37","Tomas-Org line A2","Org line A2","Tomas","Completed-Closed"
"1-270399977","Accepted-In Progress","2008/11/13 09:43:32.000","2008/11/13 09:43:32.000","Fluxicon Disco","Variant 80","80","Juan-Org line V7n","Org line V7n","Juan","Accepted-In Progress"
"1-270399977","Accepted-In Progress","2012/01/30 10:56:24.000","2012/01/30 10:56:24.000","Fluxicon Disco","Variant 80","80","Juan-Org line V7n","Org line V7n","Juan","Accepted-In Progress"
"1-270399977","Accepted-In Progress","2012/01/30 11:12:05.000","2012/01/30 11:12:05.000","Fluxicon Disco","Variant 80","80","Juan-Org line V7n","Org line V7n","Juan","Accepted-In Progress"
"1-270399977","Queued-Awaiting Assignment","2012/02/16 14:52:16.000","2012/02/16 14:52:16.000","Fluxicon Disco","Variant 80","80","Earl-Org line V7n","Org line V7n","Earl","Queued-Awaiting Assignment"
"1-270399977","Accepted-In Progress","2012/02/16 15:09:17.000","2012/02/16 15:09:17.000","Fluxicon Disco","Variant 80","80","Juan-Org line V7n","Org line V7n","Juan","Accepted-In Progress"
"1-270399977","Queued-Awaiting Assignment","2012/02/16 15:09:43.000","2012/02/16 15:09:43.000","Fluxicon Disco","Variant 80","80","Earl-Org line V7n","Org line V7n","Earl","Queued-Awaiting Assignment"
"1-270399977","Accepted-In Progress","2012/02/16 15:10:10.000","2012/02/16 15:10:10.000","Fluxicon Disco","Variant 80","80","Juan-Org line V7n","Org line V7n","Juan","Accepted-In Progress"
"1-270399977","Completed-Closed","2012/03/19 09:26:32.000","2012/03/19 09:26:32.000","Fluxicon Disco","Variant 80","80","Juan-Org line V7n","Org line V7n","Juan","Completed-Closed"
"1-270427461","Accepted-In Progress","2008/11/13 11:01:04.000","2008/11/13 11:01:04.000","Fluxicon Disco","Variant 23","23","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-270427461","Accepted-Wait","2009/12/02 14:24:35.000","2009/12/02 14:24:35.000","Fluxicon Disco","Variant 23","23","Tomas-Org line A2","Org line A2","Tomas","Accepted-Wait"
"1-270427461","Accepted-In Progress","2011/11/14 15:57:27.000","2011/11/14 15:57:27.000","Fluxicon Disco","Variant 23","23","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-270427461","Accepted-In Progress","2012/01/18 10:17:14.000","2012/01/18 10:17:14.000","Fluxicon Disco","Variant 23","23","Carrie-Org line A2","Org line A2","Carrie","Accepted-In Progress"
"1-270427461","Completed-Closed","2012/01/18 10:19:21.000","2012/01/18 10:19:21.000","Fluxicon Disco","Variant 23","23","Carrie-Org line A2","Org line A2","Carrie","Completed-Closed"
"1-310231291","Accepted-In Progress","2009/06/25 09:47:52.000","2009/06/25 09:47:52.000","Fluxicon Disco","Variant 4","4","Mats-Org line A2","Org line A2","Mats","Accepted-In Progress"
"1-310231291","Accepted-In Progress","2012/03/28 13:10:36.000","2012/03/28 13:10:36.000","Fluxicon Disco","Variant 4","4","Mats-Org line A2","Org line A2","Mats","Accepted-In Progress"
"1-310231291","Completed-Closed","2012/03/28 13:12:08.000","2012/03/28 13:12:08.000","Fluxicon Disco","Variant 4","4","Mats-Org line A2","Org line A2","Mats","Completed-Closed"
"1-316086072","Accepted-In Progress","2009/08/11 08:44:51.000","2009/08/11 08:44:51.000","Fluxicon Disco","Variant 81","81","Per-Org line C","Org line C","Per","Accepted-In Progress"
"1-316086072","Queued-Awaiting Assignment","2009/08/11 08:55:12.000","2009/08/11 08:55:12.000","Fluxicon Disco","Variant 81","81","Per-Org line C","Org line C","Per","Queued-Awaiting Assignment"
"1-316086072","Accepted-Assigned","2009/08/11 12:01:25.000","2009/08/11 12:01:25.000","Fluxicon Disco","Variant 81","81","Per-Org line C","Org line C","Per","Accepted-Assigned"
"1-316086072","Queued-Awaiting Assignment","2010/05/18 12:35:53.000","2010/05/18 12:35:53.000","Fluxicon Disco","Variant 81","81","Per-Org line C","Org line C","Per","Queued-Awaiting Assignment"
"1-316086072","Accepted-In Progress","2010/06/16 12:00:32.000","2010/06/16 12:00:32.000","Fluxicon Disco","Variant 81","81","Tony-Org line C","Org line C","Tony","Accepted-In Progress"
"1-316086072","Accepted-Wait","2011/10/01 22:40:28.000","2011/10/01 22:40:28.000","Fluxicon Disco","Variant 81","81","Tony-Org line C","Org line C","Tony","Accepted-Wait"
"1-316086072","Queued-Awaiting Assignment","2011/12/07 12:41:00.000","2011/12/07 12:41:00.000","Fluxicon Disco","Variant 81","81","Tony-Org line C","Org line C","Tony","Queued-Awaiting Assignment"
"1-316086072","Accepted-In Progress","2012/02/15 12:01:20.000","2012/02/15 12:01:20.000","Fluxicon Disco","Variant 81","81","Reza-Org line C","Org line C","Reza","Accepted-In Progress"
"1-316086072","Completed-Closed","2012/02/19 21:57:21.000","2012/02/19 21:57:21.000","Fluxicon Disco","Variant 81","81","Reza-Org line C","Org line C","Reza","Completed-Closed"
"1-320604521","Accepted-In Progress","2009/09/07 14:33:24.000","2009/09/07 14:33:24.000","Fluxicon Disco","Variant 42","42","Richard-Org line C","Org line C","Richard","Accepted-In Progress"
"1-320604521","Unmatched-Unmatched","2009/09/14 11:37:50.000","2009/09/14 11:37:50.000","Fluxicon Disco","Variant 42","42","Richard-Org line C","Org line C","Richard","Unmatched-Unmatched"
"1-320604521","Completed-Closed","2012/04/30 12:21:43.000","2012/04/30 12:21:43.000","Fluxicon Disco","Variant 42","42","Richard-Org line C","Org line C","Richard","Completed-Closed"
"1-322204195","Queued-Awaiting Assignment","2009/09/16 22:42:12.000","2009/09/16 22:42:12.000","Fluxicon Disco","Variant 82","82","Adam-Org line A2","Org line A2","Adam","Queued-Awaiting Assignment"
"1-322204195","Accepted-In Progress","2009/09/28 11:26:19.000","2009/09/28 11:26:19.000","Fluxicon Disco","Variant 82","82","Adam-Org line A2","Org line A2","Adam","Accepted-In Progress"
"1-322204195","Accepted-Wait","2009/09/28 11:26:30.000","2009/09/28 11:26:30.000","Fluxicon Disco","Variant 82","82","Adam-Org line A2","Org line A2","Adam","Accepted-Wait"
"1-322204195","Queued-Awaiting Assignment","2010/04/08 12:09:22.000","2010/04/08 12:09:22.000","Fluxicon Disco","Variant 82","82","Adam-Org line A2","Org line A2","Adam","Queued-Awaiting Assignment"
"1-322204195","Queued-Awaiting Assignment","2010/04/08 12:11:51.000","2010/04/08 12:11:51.000","Fluxicon Disco","Variant 82","82","Adam-Org line A2","Org line A2","Adam","Queued-Awaiting Assignment"
"1-322204195","Accepted-In Progress","2010/04/12 10:05:58.000","2010/04/12 10:05:58.000","Fluxicon Disco","Variant 82","82","Adam-Org line A2","Org line A2","Adam","Accepted-In Progress"
"1-322204195","Accepted-Wait","2010/04/12 10:10:24.000","2010/04/12 10:10:24.000","Fluxicon Disco","Variant 82","82","Adam-Org line A2","Org line A2","Adam","Accepted-Wait"
"1-322204195","Accepted-In Progress","2011/10/18 16:09:14.000","2011/10/18 16:09:14.000","Fluxicon Disco","Variant 82","82","Adam-Org line A2","Org line A2","Adam","Accepted-In Progress"
"1-322204195","Accepted-Wait","2012/05/24 10:02:19.000","2012/05/24 10:02:19.000","Fluxicon Disco","Variant 82","82","Adam-Org line A2","Org line A2","Adam","Accepted-Wait"
"1-322204195","Completed-Closed","2012/05/24 11:03:31.000","2012/05/24 11:03:31.000","Fluxicon Disco","Variant 82","82","Adam-Org line A2","Org line A2","Adam","Completed-Closed"
"1-322581861","Accepted-In Progress","2009/09/18 12:50:02.000","2009/09/18 12:50:02.000","Fluxicon Disco","Variant 42","42","Stefan-Org line C","Org line C","Stefan","Accepted-In Progress"
"1-322581861","Unmatched-Unmatched","2009/11/17 14:07:38.000","2009/11/17 14:07:38.000","Fluxicon Disco","Variant 42","42","Stefan-Org line C","Org line C","Stefan","Unmatched-Unmatched"
"1-322581861","Completed-Closed","2012/03/13 11:53:35.000","2012/03/13 11:53:35.000","Fluxicon Disco","Variant 42","42","Stefan-Org line C","Org line C","Stefan","Completed-Closed"
"1-322980802","Accepted-In Progress","2009/09/21 14:13:43.000","2009/09/21 14:13:43.000","Fluxicon Disco","Variant 1","1","Kerstin-Org line V2","Org line V2","Kerstin","Accepted-In Progress"
"1-322980802","Completed-Closed","2012/02/07 13:22:11.000","2012/02/07 13:22:11.000","Fluxicon Disco","Variant 1","1","Kerstin-Org line V2","Org line V2","Kerstin","Completed-Closed"
"1-323264491","Accepted-In Progress","2009/09/22 14:22:05.000","2009/09/22 14:22:05.000","Fluxicon Disco","Variant 10","10","Reine-Org line C","Org line C","Reine","Accepted-In Progress"
"1-323264491","Accepted-Assigned","2009/09/22 14:25:17.000","2009/09/22 14:25:17.000","Fluxicon Disco","Variant 10","10","Reine-Org line C","Org line C","Reine","Accepted-Assigned"
"1-323264491","Completed-Closed","2012/05/24 10:57:49.000","2012/05/24 10:57:49.000","Fluxicon Disco","Variant 10","10","Reine-Org line C","Org line C","Reine","Completed-Closed"
"1-323462732","Accepted-In Progress","2009/09/23 11:52:27.000","2009/09/23 11:52:27.000","Fluxicon Disco","Variant 83","83","Rajashekar-Org line A2","Org line A2","Rajashekar","Accepted-In Progress"
"1-323462732","Accepted-Assigned","2010/01/04 09:00:17.000","2010/01/04 09:00:17.000","Fluxicon Disco","Variant 83","83","Rajashekar-Org line A2","Org line A2","Rajashekar","Accepted-Assigned"
"1-323462732","Accepted-In Progress","2010/03/17 16:36:20.000","2010/03/17 16:36:20.000","Fluxicon Disco","Variant 83","83","Rajashekar-Org line A2","Org line A2","Rajashekar","Accepted-In Progress"
"1-323462732","Accepted-Assigned","2010/11/09 12:35:55.000","2010/11/09 12:35:55.000","Fluxicon Disco","Variant 83","83","Rajashekar-Org line A2","Org line A2","Rajashekar","Accepted-Assigned"
"1-323462732","Accepted-In Progress","2010/11/09 14:20:48.000","2010/11/09 14:20:48.000","Fluxicon Disco","Variant 83","83","Rajashekar-Org line A2","Org line A2","Rajashekar","Accepted-In Progress"
"1-323462732","Accepted-In Progress","2012/03/30 08:00:47.000","2012/03/30 08:00:47.000","Fluxicon Disco","Variant 83","83","Kalpesh-Org line A2","Org line A2","Kalpesh","Accepted-In Progress"
"1-323462732","Accepted-Assigned","2012/03/30 08:05:44.000","2012/03/30 08:05:44.000","Fluxicon Disco","Variant 83","83","Tise-Org line A2","Org line A2","Tise","Accepted-Assigned"
"1-323462732","Accepted-In Progress","2012/04/19 10:01:14.000","2012/04/19 10:01:14.000","Fluxicon Disco","Variant 83","83","TulasiPrasad-Org line A2","Org line A2","TulasiPrasad","Accepted-In Progress"
"1-323462732","Completed-Closed","2012/04/19 10:01:38.000","2012/04/19 10:01:38.000","Fluxicon Disco","Variant 83","83","TulasiPrasad-Org line A2","Org line A2","TulasiPrasad","Completed-Closed"
"1-327329880","Accepted-In Progress","2009/10/14 18:12:54.000","2009/10/14 18:12:54.000","Fluxicon Disco","Variant 23","23","Carrie-Org line A2","Org line A2","Carrie","Accepted-In Progress"
"1-327329880","Accepted-Wait","2009/12/02 14:24:37.000","2009/12/02 14:24:37.000","Fluxicon Disco","Variant 23","23","Carrie-Org line A2","Org line A2","Carrie","Accepted-Wait"
"1-327329880","Accepted-In Progress","2011/09/02 00:22:08.000","2011/09/02 00:22:08.000","Fluxicon Disco","Variant 23","23","Carrie-Org line A2","Org line A2","Carrie","Accepted-In Progress"
"1-327329880","Accepted-In Progress","2012/02/01 09:46:54.000","2012/02/01 09:46:54.000","Fluxicon Disco","Variant 23","23","Carrie-Org line A2","Org line A2","Carrie","Accepted-In Progress"
"1-327329880","Completed-Closed","2012/02/01 09:46:57.000","2012/02/01 09:46:57.000","Fluxicon Disco","Variant 23","23","Carrie-Org line A2","Org line A2","Carrie","Completed-Closed"
"1-329451027","Accepted-Wait","2009/10/26 14:47:10.000","2009/10/26 14:47:10.000","Fluxicon Disco","Variant 84","84","Henrik-Org line A2","Org line A2","Henrik","Accepted-Wait"
"1-329451027","Unmatched-Unmatched","2009/10/27 09:57:26.000","2009/10/27 09:57:26.000","Fluxicon Disco","Variant 84","84","Henrik-Org line A2","Org line A2","Henrik","Unmatched-Unmatched"
"1-329451027","Queued-Awaiting Assignment","2010/03/02 13:44:22.000","2010/03/02 13:44:22.000","Fluxicon Disco","Variant 84","84","Henrik-Org line A2","Org line A2","Henrik","Queued-Awaiting Assignment"
"1-329451027","Accepted-In Progress","2010/03/02 13:46:10.000","2010/03/02 13:46:10.000","Fluxicon Disco","Variant 84","84","Katarzyna-Org line A2","Org line A2","Katarzyna","Accepted-In Progress"
"1-329451027","Accepted-Wait","2010/03/02 13:46:18.000","2010/03/02 13:46:18.000","Fluxicon Disco","Variant 84","84","Katarzyna-Org line A2","Org line A2","Katarzyna","Accepted-Wait"
"1-329451027","Accepted-Assigned","2011/04/11 09:10:20.000","2011/04/11 09:10:20.000","Fluxicon Disco","Variant 84","84","Damian-Org line A2","Org line A2","Damian","Accepted-Assigned"
"1-329451027","Accepted-Assigned","2011/04/11 09:11:48.000","2011/04/11 09:11:48.000","Fluxicon Disco","Variant 84","84","Katarzyna-Org line A2","Org line A2","Katarzyna","Accepted-Assigned"
"1-329451027","Accepted-Wait","2011/11/28 08:21:27.000","2011/11/28 08:21:27.000","Fluxicon Disco","Variant 84","84","Katarzyna-Org line A2","Org line A2","Katarzyna","Accepted-Wait"
"1-329451027","Accepted-In Progress","2012/03/30 10:53:50.000","2012/03/30 10:53:50.000","Fluxicon Disco","Variant 84","84","Katarzyna-Org line A2","Org line A2","Katarzyna","Accepted-In Progress"
"1-329451027","Completed-Closed","2012/03/30 10:53:53.000","2012/03/30 10:53:53.000","Fluxicon Disco","Variant 84","84","Katarzyna-Org line A2","Org line A2","Katarzyna","Completed-Closed"
"1-329647261","Accepted-In Progress","2009/10/27 09:42:40.000","2009/10/27 09:42:40.000","Fluxicon Disco","Variant 85","85","Henrik-Org line A2","Org line A2","Henrik","Accepted-In Progress"
"1-329647261","Accepted-Wait","2009/10/27 09:42:49.000","2009/10/27 09:42:49.000","Fluxicon Disco","Variant 85","85","Henrik-Org line A2","Org line A2","Henrik","Accepted-Wait"
"1-329647261","Queued-Awaiting Assignment","2010/03/02 13:43:43.000","2010/03/02 13:43:43.000","Fluxicon Disco","Variant 85","85","Henrik-Org line A2","Org line A2","Henrik","Queued-Awaiting Assignment"
"1-329647261","Accepted-In Progress","2010/03/02 13:44:26.000","2010/03/02 13:44:26.000","Fluxicon Disco","Variant 85","85","Ricardo-Org line A1","Org line A1","Ricardo","Accepted-In Progress"
"1-329647261","Accepted-In Progress","2010/03/03 08:04:11.000","2010/03/03 08:04:11.000","Fluxicon Disco","Variant 85","85","Katarzyna-Org line A2","Org line A2","Katarzyna","Accepted-In Progress"
"1-329647261","Accepted-Wait","2010/06/13 22:32:03.000","2010/06/13 22:32:03.000","Fluxicon Disco","Variant 85","85","Katarzyna-Org line A2","Org line A2","Katarzyna","Accepted-Wait"
"1-329647261","Accepted-Assigned","2011/04/11 09:12:04.000","2011/04/11 09:12:04.000","Fluxicon Disco","Variant 85","85","Damian-Org line A2","Org line A2","Damian","Accepted-Assigned"
"1-329647261","Accepted-Wait","2011/11/23 11:55:39.000","2011/11/23 11:55:39.000","Fluxicon Disco","Variant 85","85","Damian-Org line A2","Org line A2","Damian","Accepted-Wait"
"1-329647261","Completed-Closed","2012/01/19 08:55:41.000","2012/01/19 08:55:41.000","Fluxicon Disco","Variant 85","85","Damian-Org line A2","Org line A2","Damian","Completed-Closed"
"1-330634474","Accepted-In Progress","2009/10/30 13:49:04.000","2009/10/30 13:49:04.000","Fluxicon Disco","Variant 86","86","Henrik-Org line A2","Org line A2","Henrik","Accepted-In Progress"
"1-330634474","Accepted-Assigned","2009/10/30 13:57:13.000","2009/10/30 13:57:13.000","Fluxicon Disco","Variant 86","86","Henrik-Org line A2","Org line A2","Henrik","Accepted-Assigned"
"1-330634474","Queued-Awaiting Assignment","2010/03/02 13:43:50.000","2010/03/02 13:43:50.000","Fluxicon Disco","Variant 86","86","Henrik-Org line A2","Org line A2","Henrik","Queued-Awaiting Assignment"
"1-330634474","Accepted-In Progress","2010/03/02 13:45:25.000","2010/03/02 13:45:25.000","Fluxicon Disco","Variant 86","86","Katarzyna-Org line A2","Org line A2","Katarzyna","Accepted-In Progress"
"1-330634474","Accepted-Wait","2010/03/02 13:45:37.000","2010/03/02 13:45:37.000","Fluxicon Disco","Variant 86","86","Katarzyna-Org line A2","Org line A2","Katarzyna","Accepted-Wait"
"1-330634474","Completed-Closed","2012/03/30 10:54:30.000","2012/03/30 10:54:30.000","Fluxicon Disco","Variant 86","86","Katarzyna-Org line A2","Org line A2","Katarzyna","Completed-Closed"
"1-331478885","Accepted-In Progress","2009/11/04 08:07:28.000","2009/11/04 08:07:28.000","Fluxicon Disco","Variant 87","87","Roger-Org line A2","Org line A2","Roger","Accepted-In Progress"
"1-331478885","Accepted-In Progress","2010/03/03 15:51:55.000","2010/03/03 15:51:55.000","Fluxicon Disco","Variant 87","87","Roger-Org line A2","Org line A2","Roger","Accepted-In Progress"
"1-331478885","Accepted-Assigned","2010/03/03 15:52:18.000","2010/03/03 15:52:18.000","Fluxicon Disco","Variant 87","87","Piotr-Org line A2","Org line A2","Piotr","Accepted-Assigned"
"1-331478885","Accepted-Assigned","2010/05/24 17:04:58.000","2010/05/24 17:04:58.000","Fluxicon Disco","Variant 87","87","Piotr-Org line A2","Org line A2","Piotr","Accepted-Assigned"
"1-331478885","Accepted-Assigned","2010/08/09 12:39:59.000","2010/08/09 12:39:59.000","Fluxicon Disco","Variant 87","87","Henrik-Org line A2","Org line A2","Henrik","Accepted-Assigned"
"1-331478885","Accepted-In Progress","2012/04/02 10:18:59.000","2012/04/02 10:18:59.000","Fluxicon Disco","Variant 87","87","Katarzyna-Org line A2","Org line A2","Katarzyna","Accepted-In Progress"
"1-331478885","Completed-Closed","2012/04/02 10:19:30.000","2012/04/02 10:19:30.000","Fluxicon Disco","Variant 87","87","Katarzyna-Org line A2","Org line A2","Katarzyna","Completed-Closed"
"1-332389008","Queued-Awaiting Assignment","2009/11/09 16:38:14.000","2009/11/09 16:38:14.000","Fluxicon Disco","Variant 88","88","Ingela-Org line V2","Org line V2","Ingela","Queued-Awaiting Assignment"
"1-332389008","Accepted-In Progress","2009/11/24 09:41:50.000","2009/11/24 09:41:50.000","Fluxicon Disco","Variant 88","88","Ingela-Org line V2","Org line V2","Ingela","Accepted-In Progress"
"1-332389008","Accepted-Wait","2010/09/10 10:45:16.000","2010/09/10 10:45:16.000","Fluxicon Disco","Variant 88","88","Ingela-Org line V2","Org line V2","Ingela","Accepted-Wait"
"1-332389008","Accepted-In Progress","2011/03/28 11:52:46.000","2011/03/28 11:52:46.000","Fluxicon Disco","Variant 88","88","Ingela-Org line V2","Org line V2","Ingela","Accepted-In Progress"
"1-332389008","Accepted-Wait","2012/01/04 15:53:26.000","2012/01/04 15:53:26.000","Fluxicon Disco","Variant 88","88","Ingela-Org line V2","Org line V2","Ingela","Accepted-Wait"
"1-332389008","Completed-Closed","2012/04/13 13:41:36.000","2012/04/13 13:41:36.000","Fluxicon Disco","Variant 88","88","Ingela-Org line V2","Org line V2","Ingela","Completed-Closed"
"1-333164156","Accepted-In Progress","2009/11/12 13:41:27.000","2009/11/12 13:41:27.000","Fluxicon Disco","Variant 89","89","Liesbet-Org line A2","Org line A2","Liesbet","Accepted-In Progress"
"1-333164156","Accepted-In Progress","2010/09/17 10:33:52.000","2010/09/17 10:33:52.000","Fluxicon Disco","Variant 89","89","Liesbet-Org line A2","Org line A2","Liesbet","Accepted-In Progress"
