"case","event","startTime","completeTime","enddate_planned","enddate","responsible","channel","startdate","deadline","department","group","org:resource","org:group"
"case-10017","T03 Adjust confirmation of receipt","2011/10/18 13:48:30.632","2011/10/18 13:48:30.632","2011/12/06 01:06:40.010","2011/10/18 13:56:55.943","Resource04","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 5","Resource30","Group 1"
"case-10017","T02 Check confirmation of receipt","2011/10/18 13:51:01.525","2011/10/18 13:51:01.525","2011/12/06 01:06:40.010","2011/10/18 13:56:55.943","Resource04","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 5","Resource30","Group 4"
"case-10017","T03 Adjust confirmation of receipt","2011/10/18 13:56:57.603","2011/10/18 13:56:57.603","2011/12/06 01:06:40.010","2011/10/18 13:56:55.943","Resource04","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 5","admin2","Group 1"
"case-10024","Confirmation of receipt","2011/10/18 15:53:19.732","2011/10/18 15:53:19.732","2011/12/01 01:06:40.010","2011/11/17 07:53:06.189","Resource11","Internet","2011/10/06 01:06:40.020","2011/12/01 01:06:40.000","General","Group 8","Resource03","EMPTY"
"case-10024","T02 Check confirmation of receipt","2011/10/18 15:53:38.108","2011/10/18 15:53:38.108","2011/12/01 01:06:40.010","2011/11/17 07:53:06.189","Resource11","Internet","2011/10/06 01:06:40.020","2011/12/01 01:06:40.000","General","Group 8","Resource03","Group 4"
"case-10024","T04 Determine confirmation of receipt","2011/10/18 15:53:53.778","2011/10/18 15:53:53.778","2011/12/01 01:06:40.010","2011/11/17 07:53:06.189","Resource11","Internet","2011/10/06 01:06:40.020","2011/12/01 01:06:40.000","General","Group 8","Resource03","Group 3"
"case-10024","T05 Print and send confirmation of receipt","2011/10/18 15:54:06.717","2011/10/18 15:54:06.717","2011/12/01 01:06:40.010","2011/11/17 07:53:06.189","Resource11","Internet","2011/10/06 01:06:40.020","2011/12/01 01:06:40.000","General","Group 8","Resource03","Group 2"
"case-10024","T06 Determine necessity of stop advice","2011/10/18 15:54:24.121","2011/10/18 15:54:24.121","2011/12/01 01:06:40.010","2011/11/17 07:53:06.189","Resource11","Internet","2011/10/06 01:06:40.020","2011/12/01 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10024","T10 Determine necessity to stop indication","2011/10/18 15:57:18.847","2011/10/18 15:57:18.847","2011/12/01 01:06:40.010","2011/11/17 07:53:06.189","Resource11","Internet","2011/10/06 01:06:40.020","2011/12/01 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10025","Confirmation of receipt","2011/10/25 09:27:08.484","2011/10/25 09:27:08.484","2011/12/05 01:06:40.010","2011/11/14 09:15:07.941","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","EMPTY"
"case-10025","T02 Check confirmation of receipt","2011/10/25 09:27:27.316","2011/10/25 09:27:27.316","2011/12/05 01:06:40.010","2011/11/14 09:15:07.941","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 4"
"case-10025","T04 Determine confirmation of receipt","2011/10/25 09:27:46.307","2011/10/25 09:27:46.307","2011/12/05 01:06:40.010","2011/11/14 09:15:07.941","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 3"
"case-10025","T05 Print and send confirmation of receipt","2011/10/25 09:28:00.504","2011/10/25 09:28:00.504","2011/12/05 01:06:40.010","2011/11/14 09:15:07.941","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 2"
"case-10025","T06 Determine necessity of stop advice","2011/10/25 09:28:15.484","2011/10/25 09:28:15.484","2011/12/05 01:06:40.010","2011/11/14 09:15:07.941","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10025","T10 Determine necessity to stop indication","2011/10/25 09:28:33.002","2011/10/25 09:28:33.002","2011/12/05 01:06:40.010","2011/11/14 09:15:07.941","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10028","Confirmation of receipt","2011/10/25 14:13:10.744","2011/10/25 14:13:10.744","2011/12/05 01:06:40.010","2011/12/05 15:34:49.174","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","EMPTY"
"case-10028","T02 Check confirmation of receipt","2011/10/25 14:13:31.837","2011/10/25 14:13:31.837","2011/12/05 01:06:40.010","2011/12/05 15:34:49.174","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 4"
"case-10028","T04 Determine confirmation of receipt","2011/10/25 14:13:49.542","2011/10/25 14:13:49.542","2011/12/05 01:06:40.010","2011/12/05 15:34:49.174","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 3"
"case-10028","T05 Print and send confirmation of receipt","2011/10/25 14:14:24.249","2011/10/25 14:14:24.249","2011/12/05 01:06:40.010","2011/12/05 15:34:49.174","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 2"
"case-10028","T06 Determine necessity of stop advice","2011/10/25 14:22:15.239","2011/10/25 14:22:15.239","2011/12/05 01:06:40.010","2011/12/05 15:34:49.174","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10028","T10 Determine necessity to stop indication","2011/10/25 14:23:06.272","2011/10/25 14:23:06.272","2011/12/05 01:06:40.010","2011/12/05 15:34:49.174","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10028","T16 Report reasons to hold request","2011/10/25 14:23:58.755","2011/10/25 14:23:58.755","2011/12/05 01:06:40.010","2011/12/05 15:34:49.174","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10028","T17 Check report Y to stop indication","2011/10/25 14:24:22.922","2011/10/25 14:24:22.922","2011/12/05 01:06:40.010","2011/12/05 15:34:49.174","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 4"
"case-10028","T19 Determine report Y to stop indication","2011/10/25 14:24:55.079","2011/10/25 14:24:55.079","2011/12/05 01:06:40.010","2011/12/05 15:34:49.174","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 3"
"case-10028","T20 Print report Y to stop indication","2011/10/25 14:25:10.989","2011/10/25 14:25:10.989","2011/12/05 01:06:40.010","2011/12/05 15:34:49.174","Resource11","Internet","2011/10/10 01:06:40.020","2011/12/05 01:06:40.000","General","Group 8","Resource03","Group 2"
"case-10059","Confirmation of receipt","2011/10/17 15:31:27.570","2011/10/17 15:31:27.570","2011/12/12 14:23:48.241","2011/10/24 11:10:14.651","Resource06","Internet","2011/10/17 14:23:48.241","2011/12/12 14:23:48.241","General","Group 5","Resource06","EMPTY"
"case-10059","T02 Check confirmation of receipt","2011/10/17 15:31:51.615","2011/10/17 15:31:51.615","2011/12/12 14:23:48.241","2011/10/24 11:10:14.651","Resource06","Internet","2011/10/17 14:23:48.241","2011/12/12 14:23:48.241","General","Group 5","Resource06","Group 4"
"case-10059","T04 Determine confirmation of receipt","2011/10/17 15:32:34.591","2011/10/17 15:32:34.591","2011/12/12 14:23:48.241","2011/10/24 11:10:14.651","Resource06","Internet","2011/10/17 14:23:48.241","2011/12/12 14:23:48.241","General","Group 5","Resource06","Group 3"
"case-10059","T05 Print and send confirmation of receipt","2011/10/17 15:33:42.796","2011/10/17 15:33:42.796","2011/12/12 14:23:48.241","2011/10/24 11:10:14.651","Resource06","Internet","2011/10/17 14:23:48.241","2011/12/12 14:23:48.241","General","Group 5","Resource06","Group 2"
"case-10059","T06 Determine necessity of stop advice","2011/10/17 15:34:25.518","2011/10/17 15:34:25.518","2011/12/12 14:23:48.241","2011/10/24 11:10:14.651","Resource06","Internet","2011/10/17 14:23:48.241","2011/12/12 14:23:48.241","General","Group 5","Resource06","Group 1"
"case-10059","T10 Determine necessity to stop indication","2011/10/17 15:41:19.472","2011/10/17 15:41:19.472","2011/12/12 14:23:48.241","2011/10/24 11:10:14.651","Resource06","Internet","2011/10/17 14:23:48.241","2011/12/12 14:23:48.241","General","Group 5","Resource06","Group 1"
"case-10061","Confirmation of receipt","2011/10/24 15:00:50.433","2011/10/24 15:00:50.433","2012/12/06 01:06:40.010","2011/11/23 08:50:44.645","Resource11","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 8","Resource03","EMPTY"
"case-10061","T06 Determine necessity of stop advice","2011/10/24 15:01:21.907","2011/10/24 15:01:21.907","2012/12/06 01:06:40.010","2011/11/23 08:50:44.645","Resource11","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10061","T10 Determine necessity to stop indication","2011/10/24 15:01:44.536","2011/10/24 15:01:44.536","2012/12/06 01:06:40.010","2011/11/23 08:50:44.645","Resource11","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10061","T02 Check confirmation of receipt","2011/10/24 15:01:59.826","2011/10/24 15:01:59.826","2012/12/06 01:06:40.010","2011/11/23 08:50:44.645","Resource11","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 8","Resource03","Group 4"
"case-10061","T04 Determine confirmation of receipt","2011/10/24 15:02:16.227","2011/10/24 15:02:16.227","2012/12/06 01:06:40.010","2011/11/23 08:50:44.645","Resource11","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 8","Resource03","Group 3"
"case-10061","T05 Print and send confirmation of receipt","2011/10/24 15:02:32.399","2011/10/24 15:02:32.399","2012/12/06 01:06:40.010","2011/11/23 08:50:44.645","Resource11","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 8","Resource03","Group 2"
"case-10062","Confirmation of receipt","2011/10/18 13:34:39.087","2011/10/18 13:34:39.087","2012/01/03 13:51:06.416","2011/10/18 13:34:37.957","admin3","Internet","2011/10/17 14:51:06.416","2012/01/03 13:51:06.416","Customer contact",,"admin2","Group 1"
"case-10065","Confirmation of receipt","2011/10/28 10:31:29.136","2011/10/28 10:31:29.136","2011/12/23 01:06:40.010","2011/12/16 00:00:00.010","Resource06","Internet","2011/10/12 01:06:40.020","2012/01/11 01:06:40.000","General","Group 5","Resource06","EMPTY"
"case-10065","T02 Check confirmation of receipt","2011/10/28 10:31:49.811","2011/10/28 10:31:49.811","2011/12/23 01:06:40.010","2011/12/16 00:00:00.010","Resource06","Internet","2011/10/12 01:06:40.020","2012/01/11 01:06:40.000","General","Group 5","Resource06","Group 4"
"case-10065","T04 Determine confirmation of receipt","2011/10/28 10:32:08.374","2011/10/28 10:32:08.374","2011/12/23 01:06:40.010","2011/12/16 00:00:00.010","Resource06","Internet","2011/10/12 01:06:40.020","2012/01/11 01:06:40.000","General","Group 5","Resource06","Group 3"
"case-10065","T05 Print and send confirmation of receipt","2011/10/28 10:32:49.753","2011/10/28 10:32:49.753","2011/12/23 01:06:40.010","2011/12/16 00:00:00.010","Resource06","Internet","2011/10/12 01:06:40.020","2012/01/11 01:06:40.000","General","Group 5","Resource06","Group 2"
"case-10065","T06 Determine necessity of stop advice","2011/10/28 10:45:06.394","2011/10/28 10:45:06.394","2011/12/23 01:06:40.010","2011/12/16 00:00:00.010","Resource06","Internet","2011/10/12 01:06:40.020","2012/01/11 01:06:40.000","General","Group 5","Resource06","Group 1"
"case-10065","T10 Determine necessity to stop indication","2011/10/28 11:01:50.118","2011/10/28 11:01:50.118","2011/12/23 01:06:40.010","2011/12/16 00:00:00.010","Resource06","Internet","2011/10/12 01:06:40.020","2012/01/11 01:06:40.000","General","Group 5","Resource06","Group 1"
"case-10066","Confirmation of receipt","2011/11/22 13:46:36.256","2011/11/22 13:46:36.256","2012/12/08 01:06:40.010","2011/11/30 08:48:31.281","Resource22","Internet","2011/10/13 01:06:40.020","2012/12/08 01:06:40.000","General","Group 5","Resource22","EMPTY"
"case-10066","T02 Check confirmation of receipt","2011/11/22 13:48:39.989","2011/11/22 13:48:39.989","2012/12/08 01:06:40.010","2011/11/30 08:48:31.281","Resource22","Internet","2011/10/13 01:06:40.020","2012/12/08 01:06:40.000","General","Group 5","Resource22","Group 4"
"case-10066","T04 Determine confirmation of receipt","2011/11/22 13:49:21.982","2011/11/22 13:49:21.982","2012/12/08 01:06:40.010","2011/11/30 08:48:31.281","Resource22","Internet","2011/10/13 01:06:40.020","2012/12/08 01:06:40.000","General","Group 5","Resource22","Group 3"
"case-10066","T05 Print and send confirmation of receipt","2011/11/22 13:52:51.629","2011/11/22 13:52:51.629","2012/12/08 01:06:40.010","2011/11/30 08:48:31.281","Resource22","Internet","2011/10/13 01:06:40.020","2012/12/08 01:06:40.000","General","Group 5","Resource22","Group 2"
"case-10066","T06 Determine necessity of stop advice","2011/11/22 13:57:59.101","2011/11/22 13:57:59.101","2012/12/08 01:06:40.010","2011/11/30 08:48:31.281","Resource22","Internet","2011/10/13 01:06:40.020","2012/12/08 01:06:40.000","General","Group 5","Resource22","Group 1"
"case-10066","T10 Determine necessity to stop indication","2011/11/22 13:59:50.916","2011/11/22 13:59:50.916","2012/12/08 01:06:40.010","2011/11/30 08:48:31.281","Resource22","Internet","2011/10/13 01:06:40.020","2012/12/08 01:06:40.000","General","Group 5","Resource22","Group 1"
"case-10067","Confirmation of receipt","2011/11/09 20:39:03.392","2011/11/09 20:39:03.392","2011/12/08 01:06:40.010","2011/11/16 10:31:30.572","Resource13","Internet","2011/10/13 01:06:40.020","2011/12/08 01:06:40.000","General","Group 5","Resource13","EMPTY"
"case-10067","T02 Check confirmation of receipt","2011/11/09 20:39:34.137","2011/11/09 20:39:34.137","2011/12/08 01:06:40.010","2011/11/16 10:31:30.572","Resource13","Internet","2011/10/13 01:06:40.020","2011/12/08 01:06:40.000","General","Group 5","Resource13","EMPTY"
"case-10067","T04 Determine confirmation of receipt","2011/11/09 20:40:02.334","2011/11/09 20:40:02.334","2011/12/08 01:06:40.010","2011/11/16 10:31:30.572","Resource13","Internet","2011/10/13 01:06:40.020","2011/12/08 01:06:40.000","General","Group 5","Resource13","EMPTY"
"case-10067","T05 Print and send confirmation of receipt","2011/11/09 20:40:26.677","2011/11/09 20:40:26.677","2011/12/08 01:06:40.010","2011/11/16 10:31:30.572","Resource13","Internet","2011/10/13 01:06:40.020","2011/12/08 01:06:40.000","General","Group 5","Resource13","EMPTY"
"case-10067","T06 Determine necessity of stop advice","2011/11/09 20:40:49.698","2011/11/09 20:40:49.698","2011/12/08 01:06:40.010","2011/11/16 10:31:30.572","Resource13","Internet","2011/10/13 01:06:40.020","2011/12/08 01:06:40.000","General","Group 5","Resource13","Group 1"
"case-10067","T10 Determine necessity to stop indication","2011/11/09 20:41:13.745","2011/11/09 20:41:13.745","2011/12/08 01:06:40.010","2011/11/16 10:31:30.572","Resource13","Internet","2011/10/13 01:06:40.020","2011/12/08 01:06:40.000","General","Group 5","Resource13","Group 1"
"case-10068","Confirmation of receipt","2011/10/20 12:39:37.946","2011/10/20 12:39:37.946","2011/12/09 01:06:40.010","2011/10/24 11:39:09.003","Resource06","Internet","2011/10/14 01:06:40.020","2011/12/09 01:06:40.000","General","Group 5","Resource20","EMPTY"
"case-10068","T02 Check confirmation of receipt","2011/10/20 12:40:07.912","2011/10/20 12:40:07.912","2011/12/09 01:06:40.010","2011/10/24 11:39:09.003","Resource06","Internet","2011/10/14 01:06:40.020","2011/12/09 01:06:40.000","General","Group 5","Resource20","Group 4"
"case-10068","T04 Determine confirmation of receipt","2011/10/20 12:40:31.903","2011/10/20 12:40:31.903","2011/12/09 01:06:40.010","2011/10/24 11:39:09.003","Resource06","Internet","2011/10/14 01:06:40.020","2011/12/09 01:06:40.000","General","Group 5","Resource20","Group 3"
"case-10068","T05 Print and send confirmation of receipt","2011/10/20 12:41:02.031","2011/10/20 12:41:02.031","2011/12/09 01:06:40.010","2011/10/24 11:39:09.003","Resource06","Internet","2011/10/14 01:06:40.020","2011/12/09 01:06:40.000","General","Group 5","Resource20","Group 2"
"case-10068","T06 Determine necessity of stop advice","2011/10/20 12:41:28.600","2011/10/20 12:41:28.600","2011/12/09 01:06:40.010","2011/10/24 11:39:09.003","Resource06","Internet","2011/10/14 01:06:40.020","2011/12/09 01:06:40.000","General","Group 5","Resource20","Group 1"
"case-10068","T10 Determine necessity to stop indication","2011/10/20 12:42:01.990","2011/10/20 12:42:01.990","2011/12/09 01:06:40.010","2011/10/24 11:39:09.003","Resource06","Internet","2011/10/14 01:06:40.020","2011/12/09 01:06:40.000","General","Group 5","Resource20","Group 1"
"case-10069","Confirmation of receipt","2011/11/07 15:10:10.205","2011/11/07 15:10:10.205","2012/01/05 00:00:00.010","2011/12/30 15:41:42.684","Resource08","Internet","2011/10/14 01:06:40.020","2012/01/05 00:00:00.000","General","Group 5","Resource08","EMPTY"
"case-10069","T02 Check confirmation of receipt","2011/11/07 15:11:51.689","2011/11/07 15:11:51.689","2012/01/05 00:00:00.010","2011/12/30 15:41:42.684","Resource08","Internet","2011/10/14 01:06:40.020","2012/01/05 00:00:00.000","General","Group 5","Resource08","EMPTY"
"case-10069","T04 Determine confirmation of receipt","2011/11/07 15:12:53.254","2011/11/07 15:12:53.254","2012/01/05 00:00:00.010","2011/12/30 15:41:42.684","Resource08","Internet","2011/10/14 01:06:40.020","2012/01/05 00:00:00.000","General","Group 5","Resource08","EMPTY"
"case-10069","T05 Print and send confirmation of receipt","2011/11/07 15:13:17.976","2011/11/07 15:13:17.976","2012/01/05 00:00:00.010","2011/12/30 15:41:42.684","Resource08","Internet","2011/10/14 01:06:40.020","2012/01/05 00:00:00.000","General","Group 5","Resource08","EMPTY"
"case-10069","T06 Determine necessity of stop advice","2011/11/07 15:14:49.848","2011/11/07 15:14:49.848","2012/01/05 00:00:00.010","2011/12/30 15:41:42.684","Resource08","Internet","2011/10/14 01:06:40.020","2012/01/05 00:00:00.000","General","Group 5","Resource08","Group 1"
"case-10069","T10 Determine necessity to stop indication","2011/11/07 15:16:47.427","2011/11/07 15:16:47.427","2012/01/05 00:00:00.010","2011/12/30 15:41:42.684","Resource08","Internet","2011/10/14 01:06:40.020","2012/01/05 00:00:00.000","General","Group 5","Resource08","Group 1"
"case-10070","Confirmation of receipt","2011/11/09 19:43:25.050","2011/11/09 19:43:25.050","2011/12/09 01:06:40.010","2011/11/18 09:47:22.105","Resource13","Internet","2011/10/14 01:06:40.020","2011/12/09 01:06:40.000","General","Group 5","Resource13","EMPTY"
"case-10070","T06 Determine necessity of stop advice","2011/11/09 19:43:50.463","2011/11/09 19:43:50.463","2011/12/09 01:06:40.010","2011/11/18 09:47:22.105","Resource13","Internet","2011/10/14 01:06:40.020","2011/12/09 01:06:40.000","General","Group 5","Resource13","Group 1"
"case-10070","T02 Check confirmation of receipt","2011/11/09 19:44:27.071","2011/11/09 19:44:27.071","2011/12/09 01:06:40.010","2011/11/18 09:47:22.105","Resource13","Internet","2011/10/14 01:06:40.020","2011/12/09 01:06:40.000","General","Group 5","Resource13","EMPTY"
"case-10070","T04 Determine confirmation of receipt","2011/11/09 19:44:58.894","2011/11/09 19:44:58.894","2011/12/09 01:06:40.010","2011/11/18 09:47:22.105","Resource13","Internet","2011/10/14 01:06:40.020","2011/12/09 01:06:40.000","General","Group 5","Resource13","EMPTY"
"case-10070","T10 Determine necessity to stop indication","2011/11/09 19:45:21.385","2011/11/09 19:45:21.385","2011/12/09 01:06:40.010","2011/11/18 09:47:22.105","Resource13","Internet","2011/10/14 01:06:40.020","2011/12/09 01:06:40.000","General","Group 5","Resource13","Group 1"
"case-10070","T05 Print and send confirmation of receipt","2011/11/09 19:48:48.443","2011/11/09 19:48:48.443","2011/12/09 01:06:40.010","2011/11/18 09:47:22.105","Resource13","Internet","2011/10/14 01:06:40.020","2011/12/09 01:06:40.000","General","Group 5","Resource13","Group 2"
"case-10071","Confirmation of receipt","2011/10/19 09:56:55.204","2011/10/19 09:56:55.204","2011/12/12 01:06:40.010","2012/01/18 09:50:57.856","Resource21","Internet","2011/10/17 01:06:40.020","2011/12/12 01:06:40.000","General","Group 2","Resource21","Group 1"
"case-10071","T02 Check confirmation of receipt","2011/10/19 09:57:39.722","2011/10/19 09:57:39.722","2011/12/12 01:06:40.010","2012/01/18 09:50:57.856","Resource21","Internet","2011/10/17 01:06:40.020","2011/12/12 01:06:40.000","General","Group 2","Resource21","Group 4"
"case-10071","T04 Determine confirmation of receipt","2011/10/19 09:58:15.323","2011/10/19 09:58:15.323","2011/12/12 01:06:40.010","2012/01/18 09:50:57.856","Resource21","Internet","2011/10/17 01:06:40.020","2011/12/12 01:06:40.000","General","Group 2","Resource21","Group 3"
"case-10071","T05 Print and send confirmation of receipt","2011/10/19 09:58:36.018","2011/10/19 09:58:36.018","2011/12/12 01:06:40.010","2012/01/18 09:50:57.856","Resource21","Internet","2011/10/17 01:06:40.020","2011/12/12 01:06:40.000","General","Group 2","Resource21","Group 2"
"case-10071","T06 Determine necessity of stop advice","2011/10/19 09:58:54.326","2011/10/19 09:58:54.326","2011/12/12 01:06:40.010","2012/01/18 09:50:57.856","Resource21","Internet","2011/10/17 01:06:40.020","2011/12/12 01:06:40.000","General","Group 2","Resource21","Group 1"
"case-10071","T10 Determine necessity to stop indication","2011/10/20 14:06:59.060","2011/10/20 14:06:59.060","2011/12/12 01:06:40.010","2012/01/18 09:50:57.856","Resource21","Internet","2011/10/17 01:06:40.020","2011/12/12 01:06:40.000","General","Group 2","Resource21","Group 1"
"case-10071","T11 Create document X request unlicensed","2012/01/18 09:48:33.680","2012/01/18 09:48:33.680","2011/12/12 01:06:40.010","2012/01/18 09:50:57.856","Resource21","Internet","2011/10/17 01:06:40.020","2011/12/12 01:06:40.000","General","Group 2","Resource21","Group 1"
"case-10071","T12 Check document X request unlicensed","2012/01/18 09:49:09.359","2012/01/18 09:49:09.359","2011/12/12 01:06:40.010","2012/01/18 09:50:57.856","Resource21","Internet","2011/10/17 01:06:40.020","2011/12/12 01:06:40.000","General","Group 2","Resource21","Group 4"
"case-10071","T14 Determine document X request unlicensed","2012/01/18 09:49:44.753","2012/01/18 09:49:44.753","2011/12/12 01:06:40.010","2012/01/18 09:50:57.856","Resource21","Internet","2011/10/17 01:06:40.020","2011/12/12 01:06:40.000","General","Group 2","Resource21","Group 3"
"case-10071","T15 Print document X request unlicensed","2012/01/18 09:50:57.577","2012/01/18 09:50:57.577","2011/12/12 01:06:40.010","2012/01/18 09:50:57.856","Resource21","Internet","2011/10/17 01:06:40.020","2011/12/12 01:06:40.000","General","Group 2","Resource21","Group 2"
"case-10072","Confirmation of receipt","2011/10/31 11:09:14.275","2011/10/31 11:09:14.275","2011/12/11 01:06:40.010","2011/12/07 15:03:44.321","admin1","Internet","2011/10/16 01:06:40.020","2011/12/11 01:06:40.000","General",,"Resource02","EMPTY"
"case-10072","T02 Check confirmation of receipt","2011/10/31 11:10:03.929","2011/10/31 11:10:03.929","2011/12/11 01:06:40.010","2011/12/07 15:03:44.321","admin1","Internet","2011/10/16 01:06:40.020","2011/12/11 01:06:40.000","General",,"Resource02","Group 4"
"case-10072","T04 Determine confirmation of receipt","2011/10/31 11:10:37.260","2011/10/31 11:10:37.260","2011/12/11 01:06:40.010","2011/12/07 15:03:44.321","admin1","Internet","2011/10/16 01:06:40.020","2011/12/11 01:06:40.000","General",,"Resource02","Group 3"
"case-10072","T05 Print and send confirmation of receipt","2011/10/31 11:10:54.423","2011/10/31 11:10:54.423","2011/12/11 01:06:40.010","2011/12/07 15:03:44.321","admin1","Internet","2011/10/16 01:06:40.020","2011/12/11 01:06:40.000","General",,"Resource02","Group 2"
"case-10072","T06 Determine necessity of stop advice","2011/10/31 11:36:38.174","2011/10/31 11:36:38.174","2011/12/11 01:06:40.010","2011/12/07 15:03:44.321","admin1","Internet","2011/10/16 01:06:40.020","2011/12/11 01:06:40.000","General",,"Resource02","Group 1"
"case-10072","T10 Determine necessity to stop indication","2011/10/31 11:37:11.319","2011/10/31 11:37:11.319","2011/12/11 01:06:40.010","2011/12/07 15:03:44.321","admin1","Internet","2011/10/16 01:06:40.020","2011/12/11 01:06:40.000","General",,"Resource02","Group 1"
"case-10073","Confirmation of receipt","2011/11/29 14:28:08.930","2011/11/29 14:28:08.930","2012/01/23 00:00:00.010",,"Resource22","Internet","2011/10/17 01:06:40.020","2012/01/23 00:00:00.000","General","Group 5","Resource22","EMPTY"
