"case","event","startTime","completeTime","apploc:joinpoint","apprun:nanotime","apploc:app","apploc:linenr","apploc:etype","apprun:threadid","org:resource","apploc:filename","apploc:node","apploc:regionstr","apploc:tier"
,"org.junit.internal.builders.AllDefaultPossibilitiesBuilder.ignoredBuilder()","2016/08/15 10:53:29.297","2016/08/15 10:53:29.308","org.junit.internal.builders.AllDefaultPossibilitiesBuilder.ignoredBuilder()","4842597742076","junit-4.12","47","return","1","1","AllDefaultPossibilitiesBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.builders.AllDefaultPossibilitiesBuilder.annotatedBuilder()","2016/08/15 10:53:29.308","2016/08/15 10:53:29.319","org.junit.internal.builders.AllDefaultPossibilitiesBuilder.annotatedBuilder()","4842608503970","junit-4.12","43","return","1","1","AllDefaultPossibilitiesBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.builders.AllDefaultPossibilitiesBuilder.suiteMethodBuilder()","2016/08/15 10:53:29.319","2016/08/15 10:53:29.333","org.junit.internal.builders.AllDefaultPossibilitiesBuilder.suiteMethodBuilder()","4842622825222","junit-4.12","51","return","1","1","AllDefaultPossibilitiesBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit3Builder()","2016/08/15 10:53:29.333","2016/08/15 10:53:29.344","org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit3Builder()","4842633188544","junit-4.12","39","return","1","1","AllDefaultPossibilitiesBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit4Builder()","2016/08/15 10:53:29.344","2016/08/15 10:53:29.397","org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit4Builder()","4842686854751","junit-4.12","35","return","1","1","AllDefaultPossibilitiesBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class)","2016/08/15 10:53:29.398","2016/08/15 10:53:29.401","org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class)","4842690250745","junit-4.12","59","return","1","1","RunnerBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.builders.IgnoredBuilder.runnerForClass(java.lang.Class)","2016/08/15 10:53:29.398","2016/08/15 10:53:29.399","org.junit.internal.builders.IgnoredBuilder.runnerForClass(java.lang.Class)","4842688530724","junit-4.12","10","return","1","1","IgnoredBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class)","2016/08/15 10:53:29.399","2016/08/15 10:53:29.402","org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class)","4842691375901","junit-4.12","59","return","1","1","RunnerBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.builders.AnnotatedBuilder.runnerForClass(java.lang.Class)","2016/08/15 10:53:29.399","2016/08/15 10:53:29.400","org.junit.internal.builders.AnnotatedBuilder.runnerForClass(java.lang.Class)","4842689979186","junit-4.12","82","return","1","1","AnnotatedBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class)","2016/08/15 10:53:29.401","2016/08/15 10:53:29.406","org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class)","4842695759347","junit-4.12","59","return","1","1","RunnerBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.builders.SuiteMethodBuilder.runnerForClass(java.lang.Class)","2016/08/15 10:53:29.401","2016/08/15 10:53:29.402","org.junit.internal.builders.SuiteMethodBuilder.runnerForClass(java.lang.Class)","4842691330142","junit-4.12","10","return","1","1","SuiteMethodBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.builders.SuiteMethodBuilder.hasSuiteMethod(java.lang.Class)","2016/08/15 10:53:29.401","2016/08/15 10:53:29.402","org.junit.internal.builders.SuiteMethodBuilder.hasSuiteMethod(java.lang.Class)","4842691263001","junit-4.12","18","return","1","1","SuiteMethodBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class)","2016/08/15 10:53:29.402","2016/08/15 10:53:29.665","org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class)","4842953542743","junit-4.12","59","return","1","1","RunnerBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.builders.JUnit3Builder.runnerForClass(java.lang.Class)","2016/08/15 10:53:29.402","2016/08/15 10:53:29.406","org.junit.internal.builders.JUnit3Builder.runnerForClass(java.lang.Class)","4842695670395","junit-4.12","10","return","1","1","JUnit3Builder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.builders.JUnit3Builder.isPre4Test(java.lang.Class)","2016/08/15 10:53:29.402","2016/08/15 10:53:29.406","org.junit.internal.builders.JUnit3Builder.isPre4Test(java.lang.Class)","4842695491208","junit-4.12","17","return","1","1","JUnit3Builder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class)","2016/08/15 10:53:29.406","2016/08/15 10:53:29.665","org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class)","4842953687290","junit-4.12","59","return","1","1","RunnerBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.builders.JUnit4Builder.runnerForClass(java.lang.Class)","2016/08/15 10:53:29.407","2016/08/15 10:53:29.665","org.junit.internal.builders.JUnit4Builder.runnerForClass(java.lang.Class)","4842953496984","junit-4.12","10","return","1","1","JUnit4Builder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.ParentRunner.createTestClass(java.lang.Class)","2016/08/15 10:53:29.425","2016/08/15 10:53:29.526","org.junit.runners.ParentRunner.createTestClass(java.lang.Class)","4842816110382","junit-4.12","88","return","1","1","ParentRunner.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.model.TestClass.scanAnnotatedMembers(java.util.Map,java.util.Map)","2016/08/15 10:53:29.497","2016/08/15 10:53:29.526","org.junit.runners.model.TestClass.scanAnnotatedMembers(java.util.Map,java.util.Map)","4842815947446","junit-4.12","64","return","1","1","TestClass.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter.getDeclaredMethods(java.lang.Class)","2016/08/15 10:53:29.505","2016/08/15 10:53:29.506","org.junit.internal.MethodSorter.getDeclaredMethods(java.lang.Class)","4842795525720","junit-4.12","52","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.model.TestClass.addToAnnotationLists(org.junit.runners.model.FrameworkMember,java.util.Map)","2016/08/15 10:53:29.507","2016/08/15 10:53:29.512","org.junit.runners.model.TestClass.addToAnnotationLists(org.junit.runners.model.FrameworkMember,java.util.Map)","4842801759622","junit-4.12","84","return","1","1","TestClass.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.model.FrameworkMethod.getAnnotations()","2016/08/15 10:53:29.507","2016/08/15 10:53:29.511","org.junit.runners.model.FrameworkMethod.getAnnotations()","4842800391986","junit-4.12","187","return","1","1","FrameworkMethod.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.model.FrameworkMember.isShadowedBy(java.util.List)","2016/08/15 10:53:29.511","2016/08/15 10:53:29.511","org.junit.runners.model.FrameworkMember.isShadowedBy(java.util.List)","4842800650289","junit-4.12","16","return","1","1","FrameworkMember.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter.getDeclaredMethods(java.lang.Class)","2016/08/15 10:53:29.512","2016/08/15 10:53:29.525","org.junit.internal.MethodSorter.getDeclaredMethods(java.lang.Class)","4842814258643","junit-4.12","52","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.512","2016/08/15 10:53:29.513","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842802314716","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.513","2016/08/15 10:53:29.513","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842802265963","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.513","2016/08/15 10:53:29.513","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842802807372","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.513","2016/08/15 10:53:29.513","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842802765034","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$2.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.513","2016/08/15 10:53:29.513","org.junit.internal.MethodSorter$2.compare(java.lang.Object,java.lang.Object)","4842802722269","junit-4.12","28","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$2.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.513","2016/08/15 10:53:29.513","org.junit.internal.MethodSorter$2.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842802666674","junit-4.12","29","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.513","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842803250421","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.513","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842803211932","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$2.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.513","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$2.compare(java.lang.Object,java.lang.Object)","4842803161041","junit-4.12","28","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$2.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.513","2016/08/15 10:53:29.513","org.junit.internal.MethodSorter$2.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842803114427","junit-4.12","29","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.514","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842803575437","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.514","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842803536949","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$2.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.514","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$2.compare(java.lang.Object,java.lang.Object)","4842803500170","junit-4.12","28","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$2.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.514","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$2.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842803462965","junit-4.12","29","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.514","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842803726399","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.514","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842803696891","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.514","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842803841010","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.514","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842803812357","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.514","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842803977859","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.514","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842803941509","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.514","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842804124544","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.514","2016/08/15 10:53:29.514","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842804085200","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.515","2016/08/15 10:53:29.515","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842804287052","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.515","2016/08/15 10:53:29.515","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842804245570","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.515","2016/08/15 10:53:29.515","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842804923400","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.515","2016/08/15 10:53:29.515","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842804524828","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.516","2016/08/15 10:53:29.516","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842805576427","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.516","2016/08/15 10:53:29.516","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842805470369","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.516","2016/08/15 10:53:29.516","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842805983980","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.516","2016/08/15 10:53:29.516","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842805835585","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.516","2016/08/15 10:53:29.517","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842806375283","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.517","2016/08/15 10:53:29.517","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842806286759","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.517","2016/08/15 10:53:29.517","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842806591248","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.517","2016/08/15 10:53:29.517","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842806555325","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.517","2016/08/15 10:53:29.517","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842806719972","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.517","2016/08/15 10:53:29.517","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842806691319","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.517","2016/08/15 10:53:29.517","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842806849978","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.517","2016/08/15 10:53:29.517","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842806817049","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","2016/08/15 10:53:29.517","2016/08/15 10:53:29.517","org.junit.internal.MethodSorter$1.compare(java.lang.Object,java.lang.Object)","4842806982978","junit-4.12","14","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","2016/08/15 10:53:29.517","2016/08/15 10:53:29.517","org.junit.internal.MethodSorter$1.compare(java.lang.reflect.Method,java.lang.reflect.Method)","4842806950904","junit-4.12","15","return","1","1","MethodSorter.java","CalculatorTest","","hamcrest-core-1.3"
