CaseID,ActivityID,CompleteTimestamp,Resource
1570,0,2012-07-17 12:38:54,Value 1
1570,9,2012-07-27 05:39:28,Value 1
1570,7,2012-08-22 05:46:25,Value 1
1570,1,2012-09-06 05:46:43,Value 3
250,0,2012-07-17 07:39:38,Value 1
250,9,2012-07-17 07:39:48,Value 1
250,7,2012-07-17 09:46:20,Value 1
250,1,2012-09-01 07:40:22,Value 5
669,0,2012-02-24 14:46:31,Value 1
669,9,2012-03-06 06:43:12,Value 2
669,7,2012-03-06 07:51:05,Value 2
669,1,2012-03-28 12:50:31,Value 5
2171,0,2012-09-11 12:56:14,Value 1
2171,9,2012-09-12 10:48:45,Value 3
2171,5,2012-09-19 11:17:02,Value 13
2171,7,2012-10-12 07:15:01,Value 13
2171,1,2012-10-27 07:15:12,Value 3
998,0,2012-02-20 07:28:55,Value 1
998,9,2012-02-20 07:29:03,Value 1
998,7,2012-02-20 09:45:35,Value 1
998,1,2012-03-22 07:30:39,Value 5
2358,0,2012-12-20 14:25:01,Value 13
2358,9,2013-01-03 08:27:59,Value 2
2358,11,2013-01-04 13:11:25,Value 1
2358,9,2013-01-04 13:21:50,Value 1
2358,11,2013-01-07 09:12:35,Value 1
2358,7,2013-01-21 06:14:36,Value 2
2358,1,2013-02-05 06:14:54,Value 3
584,0,2012-09-24 05:04:04,Value 13
584,9,2012-10-16 05:19:20,Value 2
584,11,2012-10-19 06:49:50,Value 1
584,7,2012-10-22 07:49:41,Value 1
584,1,2012-11-06 09:49:54,Value 3
1189,0,2012-10-05 04:13:45,Value 1
1189,9,2012-11-14 13:58:24,Value 2
1189,7,2012-11-14 13:58:49,Value 2
1189,1,2012-11-29 13:59:01,Value 3
817,0,2011-02-28 07:49:15,Value 2
817,9,2011-03-01 13:35:19,Value 2
817,7,2011-03-07 11:33:16,Value 2
817,9,2011-03-07 12:58:30,Value 2
817,7,2011-03-07 13:57:38,Value 2
817,1,2011-04-06 11:57:56,Value 5
2523,0,2012-10-18 10:36:34,Value 13
2523,9,2012-10-19 06:32:46,Value 2
2523,11,2012-11-05 07:59:59,Value 1
2523,7,2012-11-09 09:04:54,Value 2
2523,1,2012-11-24 09:05:16,Value 3
1360,0,2013-11-18 14:42:54,Value 18
1360,9,2013-11-19 05:49:52,Value 2
1360,5,2013-11-21 14:45:42,Value 2
1360,9,2013-11-25 10:00:56,Value 2
1360,7,2013-12-13 12:00:24,Value 2
1360,1,2013-12-28 12:00:40,Value 3
221,0,2013-01-23 12:59:31,Value 1
221,9,2013-02-06 15:08:22,Value 2
221,11,2013-02-08 12:05:11,Value 2
221,7,2013-02-26 11:57:17,Value 2
221,1,2013-03-13 11:57:39,Value 3
929,0,2011-03-31 11:11:12,Value 8
929,9,2011-03-31 11:11:23,Value 8
929,7,2011-03-31 12:50:54,Value 8
929,1,2011-05-03 11:20:21,Value 5
1399,0,2011-10-19 06:25:30,Value 1
1399,0,2011-10-19 06:27:57,Value 1
1399,9,2011-10-19 06:46:08,Value 16
1399,7,2011-10-19 08:22:01,Value 16
1399,1,2011-11-19 08:30:15,Value 5
68,0,2011-03-10 12:37:52,Value 8
68,9,2011-03-10 12:38:31,Value 8
68,11,2011-03-10 12:44:28,Value 2
68,9,2011-03-30 07:26:44,Value 2
68,7,2011-03-30 07:26:55,Value 2
68,1,2011-04-29 07:27:10,Value 5
2722,4,2010-10-18 09:21:06,Value 14
2722,0,2010-10-18 09:21:35,Value 14
2722,9,2010-10-18 09:27:51,Value 14
2722,7,2010-11-05 15:07:01,Value 2
2722,1,2010-11-20 15:07:15,Value 5
1636,0,2013-07-12 11:14:02,Value 14
1636,9,2013-07-26 05:27:39,Value 9
1636,7,2013-07-30 11:52:28,Value 9
1636,1,2013-08-14 11:52:49,Value 3
2926,0,2011-03-14 09:11:23,Value 8
2926,9,2011-03-14 09:15:18,Value 8
2926,11,2011-03-28 05:41:55,Value 2
2926,9,2011-03-30 07:22:37,Value 2
2926,7,2011-03-30 07:22:49,Value 2
2926,1,2011-04-16 10:00:24,Value 5
1084,0,2011-12-27 09:01:06,Value 1
1084,9,2011-12-27 09:02:05,Value 1
1084,7,2011-12-27 13:28:22,Value 1
1084,1,2012-01-29 09:10:30,Value 5
932,0,2010-07-14 09:59:42,Value 19
932,0,2010-07-16 06:38:44,Value 2
932,9,2010-07-20 11:17:15,Value 2
932,7,2010-07-20 12:49:34,Value 2
932,1,2010-08-14 10:00:19,Value 5
2759,0,2011-10-05 07:03:43,Value 1
2759,9,2011-10-07 09:38:31,Value 9
2759,7,2011-10-10 05:43:13,Value 9
2759,1,2011-11-05 09:10:12,Value 5
1428,0,2010-05-06 08:05:09,Value 6
1428,9,2010-05-06 10:01:24,Value 6
1428,7,2010-05-06 10:27:07,Value 6
1428,9,2010-05-06 11:36:41,Value 12
1428,11,2010-05-06 13:06:08,Value 12
1428,9,2010-05-07 09:17:30,Value 12
1428,7,2010-05-07 09:17:43,Value 12
1428,1,2010-06-10 08:02:00,Value 5
2146,0,2012-09-13 10:22:30,Value 1
2146,9,2012-10-01 07:54:36,Value 13
2146,7,2012-10-12 12:01:58,Value 13
2146,1,2012-10-27 12:02:12,Value 3
2205,4,2010-10-18 04:41:00,Value 6
2205,0,2010-10-18 04:46:57,Value 6
2205,9,2010-10-18 04:56:01,Value 6
2205,11,2010-10-18 04:57:03,Value 6
2205,9,2010-10-18 10:54:23,Value 2
2205,11,2010-10-18 10:55:01,Value 2
2205,9,2010-10-19 04:15:36,Value 2
2205,7,2010-10-19 04:21:31,Value 2
2205,1,2010-11-26 06:10:30,Value 5
2053,0,2010-02-09 06:47:01,Value 2
2053,9,2010-03-09 13:17:24,Value 2
2053,7,2010-03-09 13:17:28,Value 2
2053,1,2010-03-24 13:17:46,Value 5
269,0,2011-07-07 09:58:51,Value 9
269,9,2011-07-08 05:58:32,Value 9
269,7,2011-07-11 14:01:35,Value 10
269,1,2011-08-24 10:00:35,Value 5
1940,0,2012-04-24 07:52:09,Value 2
1940,9,2012-04-24 07:52:22,Value 2
1940,7,2012-04-24 07:53:17,Value 2
1940,1,2012-06-07 08:00:28,Value 5
148,0,2012-03-07 13:57:18,Value 2
148,7,2012-03-07 13:59:42,Value 2
148,7,2012-03-07 13:59:43,Value 2
148,1,2012-04-28 12:00:45,Value 5
1622,9,2011-12-15 12:34:12,Value 9
1622,7,2011-12-15 13:30:21,Value 9
1622,1,2012-01-27 12:30:27,Value 5
565,0,2012-03-19 12:57:11,Value 1
565,9,2012-03-20 11:19:21,Value 4
565,7,2012-03-20 12:44:20,Value 13
565,7,2012-03-20 12:44:21,Value 13
565,1,2012-04-19 11:01:20,Value 5
29,0,2012-05-29 12:38:19,Value 1
29,9,2012-05-29 12:38:27,Value 1
29,11,2012-05-30 11:35:37,Value 1
29,9,2012-05-30 12:32:51,Value 1
29,7,2012-06-01 09:40:27,Value 1
29,1,2012-06-30 04:41:01,Value 5
1226,0,2011-05-27 11:04:53,Value 8
1226,9,2011-05-27 11:05:15,Value 8
1226,11,2011-05-30 04:34:08,Value 6
1226,9,2011-05-31 12:20:37,Value 6
1226,7,2011-05-31 12:23:04,Value 6
1226,1,2011-06-30 12:23:36,Value 5
2138,0,2011-05-24 11:38:40,Value 8
2138,9,2011-05-24 11:39:29,Value 8
2138,7,2011-06-01 09:46:28,Value 8
2138,1,2011-07-22 11:40:26,Value 5
1217,0,2012-05-14 09:59:38,Value 1
1217,9,2012-05-14 09:59:50,Value 1
1217,11,2012-05-14 10:06:27,Value 1
1217,7,2012-05-25 04:35:47,Value 1
1217,1,2012-06-24 04:36:14,Value 5
703,0,2010-04-14 06:07:44,Value 2
703,0,2010-05-04 13:10:29,Value 16
703,9,2010-05-04 13:10:37,Value 16
703,7,2010-05-04 13:10:42,Value 16
703,1,2010-06-03 13:11:09,Value 5
109,0,2011-01-19 07:17:21,Value 14
109,9,2011-01-25 08:28:10,Value 9
109,11,2011-01-25 14:33:05,Value 2
109,9,2011-02-09 09:37:25,Value 2
109,7,2011-02-09 09:37:34,Value 2
109,1,2011-03-05 12:20:39,Value 5
460,0,2012-01-13 14:36:23,Value 2
460,7,2012-01-13 14:36:49,Value 2
460,1,2012-02-26 14:40:38,Value 5
456,0,2011-08-19 04:17:30,Value 9
456,11,2011-08-19 04:31:26,Value 9
456,7,2011-08-26 11:37:31,Value 9
456,1,2011-09-24 11:40:31,Value 5
1024,0,2010-12-06 06:28:17,Value 8
1024,9,2010-12-06 06:35:40,Value 15
1024,7,2010-12-06 06:35:51,Value 15
1024,1,2011-01-13 06:30:44,Value 5
202,0,2013-07-01 13:02:34,Value 1
202,9,2013-07-01 13:03:05,Value 1
202,9,2013-07-12 12:43:42,Value 10
202,11,2013-07-16 04:18:11,Value 10
202,7,2013-07-29 12:49:10,Value 10
202,1,2013-08-13 12:49:24,Value 3
1021,0,2013-08-14 07:28:36,Value 4
1021,9,2013-08-26 06:10:52,Value 2
1021,11,2013-08-26 06:38:12,Value 2
1021,7,2013-09-04 06:15:39,Value 2
1021,1,2013-09-19 06:15:47,Value 3
616,0,2011-07-12 05:20:02,Value 13
616,9,2011-07-12 05:20:15,Value 13
616,7,2011-07-12 05:26:27,Value 13
616,1,2011-08-25 05:30:48,Value 5
538,0,2010-10-05 04:46:59,Value 2
538,9,2010-10-05 04:59:41,Value 2
538,7,2010-10-05 05:00:18,Value 2
538,1,2010-11-19 07:00:53,Value 5
885,0,2012-03-12 08:47:50,Value 1
885,9,2012-04-05 11:44:07,Value 10
885,11,2012-04-05 12:16:21,Value 2
885,7,2012-04-19 04:23:32,Value 10
885,1,2012-05-04 04:23:43,Value 5
2068,0,2011-08-04 12:24:33,Value 2
2068,9,2011-08-04 12:24:44,Value 2
2068,7,2011-08-04 12:26:05,Value 2
2068,1,2011-09-06 12:30:25,Value 5
1336,0,2011-11-16 07:22:21,Value 1
1336,9,2011-11-16 07:22:29,Value 1
1336,7,2011-11-16 08:48:57,Value 1
1336,1,2011-12-17 07:30:29,Value 5
1398,0,2013-02-01 11:41:12,Value 1
1398,9,2013-02-01 13:10:20,Value 12
1398,7,2013-02-21 12:51:53,Value 11
1398,1,2013-03-08 12:52:01,Value 3
2054,0,2011-03-31 10:44:47,Value 2
2054,9,2011-03-31 10:45:01,Value 2
2054,7,2011-03-31 10:47:03,Value 2
2054,1,2011-05-03 10:50:26,Value 5
1028,0,2012-07-30 07:06:52,Value 4
1028,9,2012-07-31 04:23:22,Value 6
1028,7,2012-08-03 04:26:18,Value 6
1028,1,2012-09-12 07:10:25,Value 5
2803,0,2011-04-26 04:58:29,Value 8
2803,9,2011-04-26 05:23:14,Value 10
2803,7,2011-04-26 05:30:12,Value 10
2803,1,2011-06-03 05:00:31,Value 5
2254,0,2011-11-23 08:59:12,Value 9
2254,9,2011-11-23 09:00:48,Value 9
2254,7,2011-11-23 09:23:33,Value 9
2254,1,2012-01-05 09:01:01,Value 5
1686,0,2012-04-17 04:46:35,Value 4
1686,9,2012-04-20 06:36:37,Value 9
1686,7,2012-04-20 08:05:40,Value 9
1686,1,2012-06-02 04:50:28,Value 5
2018,0,2011-04-21 07:16:26,Value 8
2018,9,2011-04-21 07:17:01,Value 8
2018,7,2011-04-28 06:01:28,Value 9
2018,1,2011-05-29 07:20:29,Value 5
288,0,2012-12-10 09:53:38,Value 9
288,9,2012-12-11 11:32:17,Value 9
288,7,2013-01-08 09:42:08,Value 9
288,1,2013-01-23 09:42:26,Value 3
75,0,2011-12-21 13:24:41,Value 4
75,9,2011-12-21 13:25:34,Value 4
75,7,2011-12-22 07:55:43,Value 4
75,1,2012-01-21 13:30:31,Value 5
1127,0,2013-02-26 09:18:21,Value 1
1127,9,2013-03-26 13:04:30,Value 2
1127,7,2013-04-10 10:02:36,Value 9
1127,1,2013-04-25 10:02:49,Value 3
393,0,2011-07-08 05:07:31,Value 2
393,9,2011-07-08 05:08:33,Value 2
393,7,2011-07-08 05:22:29,Value 2
393,1,2011-08-10 05:11:01,Value 5
573,0,2010-02-04 08:36:44,Value 2
573,9,2010-02-04 08:49:49,Value 2
573,2,2010-02-04 08:49:57,Value 2
573,7,2010-03-16 13:09:50,Value 2
573,1,2010-03-31 11:10:02,Value 5
2651,0,2011-11-08 08:47:18,Value 1
2651,9,2011-11-11 11:31:56,Value 13
2651,11,2011-11-22 07:56:15,Value 13
2651,7,2011-11-25 09:37:22,Value 2
2651,7,2011-11-25 09:37:25,Value 2
2651,1,2011-12-14 11:30:32,Value 5
1203,0,2011-11-30 07:49:05,Value 4
1203,9,2011-11-30 07:49:38,Value 4
1203,7,2011-12-01 11:34:02,Value 4
1203,1,2012-01-01 07:50:55,Value 5
1719,0,2013-11-12 06:05:33,Value 1
1719,9,2013-11-14 14:08:00,Value 2
1719,5,2013-11-28 05:48:09,Value 2
1719,7,2013-12-23 06:10:53,Value 1
2376,0,2013-02-25 08:07:40,Value 4
2376,9,2013-03-05 06:01:19,Value 4
2376,5,2013-03-05 07:58:10,Value 4
2376,7,2013-03-21 07:41:21,Value 1
2376,1,2013-04-05 05:41:33,Value 3
2885,0,2012-07-25 04:02:54,Value 1
2885,9,2012-07-30 06:39:04,Value 4
2885,7,2012-08-02 12:14:07,Value 13
2885,1,2012-09-09 04:10:33,Value 5
2086,0,2012-05-23 06:22:05,Value 1
2086,9,2012-05-23 07:06:20,Value 12
2086,7,2012-05-23 07:10:45,Value 12
2086,1,2012-06-23 06:30:31,Value 5
706,0,2012-06-06 09:06:21,Value 1
706,9,2012-06-06 11:23:01,Value 6
706,7,2012-06-18 08:03:47,Value 16
706,1,2012-08-04 09:10:30,Value 5
439,0,2010-01-15 15:11:07,Value 2
439,9,2010-02-01 06:16:26,Value 2
439,7,2010-02-01 06:30:33,Value 2
439,1,2010-02-16 06:30:55,Value 5
1454,0,2011-09-09 10:51:50,Value 2
1454,7,2011-09-13 05:57:05,Value 13
1454,9,2011-09-13 12:26:30,Value 13
1454,7,2011-09-30 10:29:33,Value 13
1454,1,2011-10-15 10:29:49,Value 5
1899,0,2013-02-07 07:15:32,Value 1
1899,9,2013-02-25 06:02:25,Value 2
1899,7,2013-02-25 06:06:17,Value 2
1899,1,2013-03-12 06:06:36,Value 3
2020,0,2010-12-23 12:21:43,Value 8
2020,0,2010-12-23 13:27:57,Value 8
2020,9,2010-12-28 06:53:07,Value 14
2020,7,2011-01-18 09:20:50,Value 14
2020,1,2011-02-02 09:21:02,Value 5
212,0,2011-03-14 08:46:56,Value 8
212,9,2011-03-14 08:47:27,Value 8
212,7,2011-03-14 13:08:30,Value 9
212,1,2011-04-14 06:50:23,Value 5
1208,0,2012-04-12 05:17:59,Value 4
1208,9,2012-04-12 05:18:22,Value 4
1208,7,2012-04-12 11:17:24,Value 4
1208,1,2012-05-15 05:20:11,Value 5
1050,0,2011-05-11 05:07:26,Value 8
1050,9,2011-05-11 05:07:53,Value 8
1050,11,2011-05-11 07:35:44,Value 2
1050,9,2011-05-16 05:43:13,Value 2
1050,7,2011-05-16 05:43:22,Value 2
1050,1,2011-06-30 05:43:55,Value 5
1050,1,2011-06-30 05:43:55,Value 5
656,0,2013-06-20 11:47:54,Value 14
656,9,2013-06-21 10:06:11,Value 12
656,11,2013-06-28 10:05:57,Value 2
656,7,2013-08-01 11:40:46,Value 12
656,1,2013-08-16 11:41:03,Value 3
1942,0,2012-07-23 04:28:56,Value 1
1942,9,2012-07-24 09:15:16,Value 4
1942,7,2012-07-24 10:35:31,Value 4
1942,1,2012-09-07 04:30:19,Value 5
1609,0,2011-03-18 06:38:46,Value 8
1609,9,2011-03-18 07:28:20,Value 9
1609,11,2011-03-18 07:40:04,Value 9
1609,9,2011-03-21 09:23:53,Value 9
1609,7,2011-03-21 09:24:48,Value 9
1609,1,2011-04-23 06:20:21,Value 5
2489,0,2013-11-13 11:40:36,Value 18
2489,9,2013-11-21 07:31:08,Value 20
2489,5,2013-11-21 11:08:17,Value 2
2489,7,2013-12-18 06:31:51,Value 2
2489,7,2013-12-18 06:31:51,Value 2
2489,1,2014-01-02 06:32:07,Value 3
577,0,2012-03-26 12:15:23,Value 1
577,0,2012-04-02 12:05:02,Value 2
577,9,2012-04-05 11:44:29,Value 10
577,11,2012-04-05 12:06:07,Value 10
577,7,2012-04-19 04:21:30,Value 10
577,1,2012-05-10 04:40:21,Value 5
563,0,2011-12-05 09:39:11,Value 1
563,9,2011-12-09 06:07:57,Value 13
563,11,2011-12-19 08:35:06,Value 13
563,7,2011-12-19 08:50:02,Value 13
563,1,2012-01-05 10:00:31,Value 5
2566,0,2011-01-28 07:01:13,Value 8
2566,9,2011-01-28 11:49:49,Value 2
2566,7,2011-01-31 06:58:40,Value 2
2566,1,2011-03-13 07:11:05,Value 5
2103,0,2011-06-22 04:43:20,Value 8
2103,0,2011-06-22 04:43:59,Value 8
2103,9,2011-06-22 07:06:02,Value 8
2103,7,2011-06-22 07:09:31,Value 8
2103,1,2011-07-23 04:50:17,Value 5
54,0,2011-05-18 06:38:14,Value 8
54,9,2011-05-18 06:38:35,Value 8
54,7,2011-05-23 07:35:13,Value 13
54,1,2011-07-01 06:40:32,Value 5
2217,0,2013-01-09 12:12:19,Value 13
2217,9,2013-01-22 07:13:55,Value 2
2217,7,2013-02-04 13:22:29,Value 2
2217,1,2013-02-19 13:22:47,Value 3
2589,0,2012-06-20 04:49:20,Value 1
2589,9,2012-06-20 04:49:37,Value 1
2589,7,2012-06-26 05:43:45,Value 1
2589,1,2012-08-05 04:50:42,Value 5
2670,0,2011-03-07 09:59:06,Value 8
2670,9,2011-03-07 09:59:47,Value 8
2670,11,2011-03-22 12:12:53,Value 13
2670,9,2011-03-23 07:32:23,Value 13
2670,7,2011-03-23 07:32:35,Value 13
2670,1,2011-04-07 05:32:42,Value 5
708,0,2011-06-13 07:04:38,Value 13
708,9,2011-06-13 07:05:13,Value 13
708,7,2011-06-13 09:40:22,Value 13
708,1,2011-07-14 07:10:19,Value 5
2075,0,2011-08-16 04:30:47,Value 9
2075,9,2011-09-02 05:41:40,Value 2
2075,7,2011-09-12 06:00:24,Value 2
2075,1,2011-09-27 06:00:43,Value 5
567,0,2012-07-31 13:08:12,Value 1
567,9,2012-08-06 06:01:23,Value 4
567,11,2012-08-16 04:25:03,Value 13
567,11,2012-08-16 04:25:03,Value 13
567,7,2012-08-23 11:30:26,Value 9
567,7,2012-08-23 11:30:29,Value 9
567,1,2012-09-07 11:30:40,Value 3
2510,0,2012-02-10 12:32:25,Value 1
2510,9,2012-02-15 09:29:00,Value 2
2510,7,2012-02-15 12:22:40,Value 2
2510,1,2012-03-14 12:40:35,Value 5
684,9,2011-11-11 09:15:03,Value 4
684,11,2011-11-11 09:48:22,Value 4
684,7,2011-11-28 14:13:37,Value 4
684,1,2011-12-13 14:13:48,Value 5
919,0,2011-01-12 14:35:03,Value 8
919,9,2011-01-14 09:26:55,Value 14
919,7,2011-01-14 09:27:11,Value 14
919,1,2011-02-12 14:40:33,Value 5
155,0,2011-05-04 10:49:39,Value 8
155,9,2011-05-18 07:28:05,Value 2
155,11,2011-05-18 07:43:36,Value 12
155,7,2011-05-24 06:31:18,Value 12
155,1,2011-06-08 06:31:44,Value 5
459,0,2012-05-09 07:56:38,Value 1
459,9,2012-05-09 10:23:25,Value 4
459,7,2012-05-09 11:29:37,Value 4
459,1,2012-06-09 08:00:24,Value 5
348,0,2012-05-30 10:25:09,Value 4
348,9,2012-05-30 10:41:30,Value 4
348,7,2012-05-30 11:07:57,Value 4
348,1,2012-06-30 10:30:43,Value 5
1429,9,2011-12-16 07:12:13,Value 1
1429,11,2011-12-16 13:19:46,Value 9
1429,11,2011-12-16 13:19:46,Value 9
1429,7,2012-01-05 06:48:26,Value 9
1429,1,2012-01-24 09:50:19,Value 5
2061,0,2013-09-03 11:55:46,Value 18
2061,9,2013-09-03 12:00:54,Value 2
2061,11,2013-09-03 12:05:59,Value 18
2061,7,2013-09-26 06:17:13,Value 18
2061,1,2013-10-11 06:17:28,Value 3
2653,0,2010-04-19 12:41:52,Value 2
2653,9,2010-04-20 04:20:23,Value 12
2653,7,2010-04-22 11:28:57,Value 12
2653,1,2010-05-20 12:50:37,Value 5
1931,0,2013-08-12 05:32:02,Value 4
1931,9,2013-08-23 11:49:31,Value 9
1931,7,2013-09-13 06:20:09,Value 4
1931,1,2013-09-28 06:20:24,Value 3
576,0,2012-02-24 07:12:34,Value 4
576,9,2012-02-24 07:15:32,Value 4
576,7,2012-02-27 14:27:15,Value 9
576,1,2012-04-04 05:20:28,Value 5
80,0,2011-10-18 09:06:24,Value 4
80,0,2011-10-18 10:17:30,Value 6
80,0,2011-10-18 10:17:31,Value 6
80,9,2011-10-20 04:45:22,Value 9
80,7,2011-10-20 05:14:31,Value 9
80,7,2011-10-20 05:14:31,Value 9
80,1,2011-12-10 11:10:36,Value 5
300,0,2011-01-12 08:39:32,Value 9
